Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
GRAM MOHIDDINPUR BLOCK NAGAL ME MOHIDDINPUR-SALHAPUR SADAK SE PRATHMIK VIDHYALYA TAK C.C.ROAD VAI NALI NIRMAAN KARYA,GRAM MOHIDDINPUR BLOCK NAGAL ME MOHIDDINPUR-SALHAPUR SADAK SE PRATHMIK VIDHYALYA TAK C.C.ROAD VAI NALI NIRMAAN KARYA,GRAM MOHIDDINPUR BLOCK NAGAL ME MOHIDDINPUR-SALHAPUR SADAK SE PRATHMIK VIDHYALYA TAK C.C.ROAD VAI NALI NIRMAAN KARYA ,NA ,"24,37,000",Civil Works,NA ,Tender,90.0,90.0,EE red saharanpur,247001.0,EE red saharanpur vikas bhawan delhi road saharanp ,EE red saharanpur vikas bhawan delhi road saharanpur ,25-Apr-2026 12:00 PM ,EE red saharanpur vikas bhawan delhi road saharanp,No ,No,854.0,Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical document,Executive Engineer,EE red saharanpur vikas bhawan delhi road saharanpur,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,1617/RED/cashier/25-26 dt 20-03-2026,2026_REDUP_1139817_24,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"48,800",Yes,fixed,,Nil,Nil,23-Apr-2026 10:00 AM,28-Apr-2026 12:30 PM,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,NA ,NA ,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,11-May-2026 12:00 PM,AOC,Ravi,Internal,pavan kumar vinod kumar,Rajendra Kumar,05-Jun-2026 10:46 AM,finsummary_2128993.pdf (98.11 KB),Finance,ok,Rajendra Kumar,05-Jun-2026 10:41 AM,,BOQ Comparative Chart,1.0,6071590.0,sachin kumar thekedar,INR,"2,411,502",1.0,6071590.0,sachin kumar thekedar,27-Apr-2026 06:28 PM,Accepted-AOC,ok,05-Jun-2026 11:06 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1139817_24,1617/RED/cashier/25-26 dt 20-03-2026,GRAM MOHIDDINPUR BLOCK NAGAL ME MOHIDDINPUR-SALHAPUR SADAK SE PRATHMIK VIDHYALYA TAK C.C.ROAD VAI NALI NIRMAAN KARYA,Ravi,Internal,sandeep kumar aggarwal pavan kumar,SANDEEP KUMAR AGARWAL,07-May-2026 07:02 PM,11-May-2026 12:00 PM,techsummary_2128993.pdf (98.16 KB),05-Jun-2026,"INR 2,411,502",90.0,Rajendra Kumar,05-Jun-2026 11:06 AM,dd.pdf (98.00 KB),ok,Technical,ok,SANDEEP KUMAR AGARWAL,07-May-2026 06:11 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,fess end emd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,6071900.0,SAINI CONTRACTORS,28-Apr-2026 08:01 AM,Rejected-Finance,L2,05-Jun-2026 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
