S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,All Technical Documents,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||NWMPSC, hardoi",05/EE/2025-26,2026_UPIDC_1116481_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,28-Feb-2026 05:35 PM,Renovation of Road of Rusena Mr in left bank from km 2.550 to 3.000 (Lot 02),Renovation of Road of Rusena Mr in left bank from km 2.550 to 3.000 (Lot 02),Please refer Tender documents. ,NA ,"6,75,000",Civil Works - Canal,Renovation of road ,Rate Contract,90.0,20.0,Hardoi,241001.0,NA ,NA ,NA ,EE NWMPSC Hardoi,No ,No,Executive Engineer,EE NWMPSC Hardoi,766.0,Nil,Nil,No,"13,500",No,fixed,,Nil,Nil,AOC,Mohammad Pervaiz Executive Engineer,Internal,Ajay Kumar Chaudhary Executive Engineer Amit Kumar DAO,MOHAMMAD PERVAIZ,28-Feb-2026 05:29 PM,28-Feb-2026 05:35 PM,techsummary_2081607.pdf (209.13 KB),Finance,patra letter,MOHAMMAD PERVAIZ,28-Feb-2026 06:57 PM,finance_2081607.pdf,BOQ Comparative Chart,Mohammad Pervaiz Executive Engineer,Internal,Ajay Kumar Chaudhary Executive Engineer Amit Kumar DAO,MOHAMMAD PERVAIZ,28-Feb-2026 07:00 PM,finsummary_2081607.pdf (209.13 KB),Technical,Patra Letter,MOHAMMAD PERVAIZ,28-Feb-2026 05:26 PM,technical_2081607.pdf,1,5934453,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,26-Feb-2026 07:28 PM,Accepted-AOC,Aoc due to L1,10-Jun-2026 02:31 PM,1.0,5934453.0,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,INR,"644,321","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||NWMPSC, hardoi",2026_UPIDC_1116481_2,05/EE/2025-26,Renovation of Road of Rusena Mr in left bank from km 2.550 to 3.000 (Lot 02),07-Mar-2026,"INR 644,321",20.0,MOHAMMAD PERVAIZ,10-Jun-2026 02:31 PM,a38.pdf (819.00 KB),Aoc due to L1,AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5934385,Ram Dayal,27-Feb-2026 11:49 AM,Rejected-Finance,Rejected due to higher rates to L1,28-Feb-2026 07:00 PM,,,,,,,,,,,,,,,,,AOC
