S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6064816.0,MK CONSTRUCTION,INR,"3,142,054",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,2026_REDUP_1139507_5,35 date 02.04.2026,BLOCK KARANDA ME GRAM MADANAHI DURGA MATA MANDIR SE TODARPUR TAK PICH NIRMAN KARY,1,6089097,BABA RAM BAKSH CONSTRUCTION,05-May-2026 12:01 AM,Rejected-Technical,NONRESPONSIVE,19-May-2026 08:18 PM,15-Jun-2026,"INR 3,142,054",90.0,Puneet Kumar,15-Jun-2026 04:47 PM,a.pdf (580.00 KB),L1,EE,Internal,AE DAO,Puneet Kumar,19-May-2026 08:18 PM,23-May-2026 01:00 PM,techsummary_2127600.pdf (136.57 KB),Finance,open,Puneet Kumar,23-May-2026 03:11 PM,finance_2127600.pdf,BOQ Comparative Chart,EE,Internal,AE DAO,Puneet Kumar,15-Jun-2026 04:27 PM,finsummary_2127600.pdf (378.63 KB),Technical,open,Puneet Kumar,05-May-2026 02:18 PM,technical_2127600.pdf,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,35 date 02.04.2026,2026_REDUP_1139507_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,1.0,date,Date,,20-Apr-2026 03:00 PM,05-May-2026 12:30 PM,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,23-May-2026 01:00 PM,1.0,SBI Bank,BLOCK KARANDA ME GRAM MADANAHI DURGA MATA MANDIR SE TODARPUR TAK PICH NIRMAN KARY,BLOCK KARANDA ME GRAM MADANAHI DURGA MATA MANDIR SE TODARPUR TAK PICH NIRMAN KARY,Please refer Tender documents. ,NA ,"26,69,000",Civil Works,NA ,Tender,90.0,90.0,GHAZIPUR,226007.0,NA ,NA ,NA ,OFFICE E.E. R.E.D. GHAZIPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,fee and document,E.E. R.E.D. GHAZIPUR,OFFICE E.E. R.E.D. GHAZIPUR,"53,380",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,2,6064816,MK CONSTRUCTION,27-Apr-2026 03:13 PM,Accepted-AOC,L1,15-Jun-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,3,6088349,M/S GAUTAM ENTERPRISES,05-May-2026 03:10 AM,Rejected-Technical,NONRESPONSIVE,19-May-2026 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6087519,PRIYANKA SINGH,05-May-2026 11:12 AM,Rejected-Technical,NONRESPONSIVE,19-May-2026 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6072426,RAJAT CONSTRUCTION,28-Apr-2026 09:12 PM,Rejected-Finance,L2,15-Jun-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
