Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,05/SE RED Gorakhpur/Gorakhpur/26-27 Dt 02/04/2026,2026_REDUP_1145572_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,714",Nil,Nil,No,"Under District Gorakhpur, Construction of Road from Dhus intersection in Block Pipraich Gram Panchayat Bhainsha to the house of Roop Lal Nishad to Sanjay Nishad house in Aktahwa Tela, Lot No 27","Under District Gorakhpur, Construction of Road from Dhus intersection in Block Pipraich Gram Panchayat Bhainsha to the house of Roop Lal Nishad to Sanjay Nishad house in Aktahwa Tela, Lot No 27",Please refer Tender documents. ,NA ,"58,42,000",Civil Works,NA ,Tender,90.0,NA ,Gorakhpur,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",11-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,1.0,SBI Bank,"1,16,840",No,percentage,2.0%,Nil,Nil,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",05-May-2026 06:55 PM,19-May-2026 12:30 PM,05-May-2026 06:55 PM,18-May-2026 12:00 PM,NA ,NA ,05-May-2026 06:55 PM,18-May-2026 12:00 PM,28-May-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,AOC,1.0,6118385.0,M/S AWADHESH SINGH,INR,"6,880,345.29",Finance,Summary,Dileep Shukla,29-May-2026 01:59 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,15-Jun-2026 09:48 AM,finsummary_2141765.pdf (895.47 KB),1,6118385,M/S AWADHESH SINGH,16-May-2026 09:37 AM,Accepted-AOC,AOC,15-Jun-2026 10:16 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1145572_27,05/SE RED Gorakhpur/Gorakhpur/26-27 Dt 02/04/2026,"Under District Gorakhpur, Construction of Road from Dhus intersection in Block Pipraich Gram Panchayat Bhainsha to the house of Roop Lal Nishad to Sanjay Nishad house in Aktahwa Tela, Lot No 27",Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Vivek Priya EE RED Gorakhpur, Er P K Bharti EE RED Maharajganj, Mr Katyayani Prasad DAO RED Gorakhpur",Dileep Shukla,24-May-2026 10:14 AM,28-May-2026 12:00 PM,techsummary_2141765.pdf (1840.80 KB),15-Jun-2026,"INR 6,880,345.29",270.0,Dileep Shukla,15-Jun-2026 10:16 AM,05_27.pdf (895.00 KB),Technical,Summary,Dileep Shukla,19-May-2026 02:54 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),AOC,,,,,,,,,,,,,,,,,,2,6118370,R.K.TRADERS & CONSTRUCTION PRIVATE LIMITED,16-May-2026 10:39 AM,Rejected-Finance,Rejetced,15-Jun-2026 09:48 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
