Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
765.0,Nil,Nil,No,"29,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT,VIKAS BHAWAN FATEHPUR,VIKAS BHAWAN FATEHPUR,02-May-2026 06:55 PM,09-May-2026 11:00 AM,02-May-2026 06:55 PM,08-May-2026 06:00 PM,NA ,NA ,02-May-2026 06:55 PM,08-May-2026 06:00 PM,18-May-2026 11:00 AM,Block Amauli Ke Gram Panchayat behta Khurd Me Rajesh verma Ke Ghar Ke Darwaje Se bajrangabali mandir tak CC road Nirman.,Block Amauli Ke Gram Panchayat behta Khurd Me Rajesh verma Ke Ghar Ke Darwaje Se bajrangabali mandir tak CC road Nirman.,PREFIRED NIT ,NA ,"14,17,000",Civil Works,NA ,Tender,90.0,90.0,FATEHPUR,212601.0,VIKAS BHAWAN FATEHPUR ,VIKAS BHAWAN FATEHPUR ,05-May-2026 12:00 PM ,VIKAS BHAWAN FATEHPUR,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE FATEHPUR,13/RED/E-Tender/2026-27 Date 02-04-2026,2026_REDUP_1137177_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,1.0,6091909.0,M/S J. P. CONTRACTOR,INR,"1,411,724","DAO, AE, EE",Internal,,VIKAS KUREEL,23-May-2026 05:33 PM,finsummary_2123437.pdf (287.99 KB),Finance,Summary,VIKAS KUREEL,20-May-2026 04:15 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE FATEHPUR,2026_REDUP_1137177_10,13/RED/E-Tender/2026-27 Date 02-04-2026,Block Amauli Ke Gram Panchayat behta Khurd Me Rajesh verma Ke Ghar Ke Darwaje Se bajrangabali mandir tak CC road Nirman.,1.0,6091909.0,M/S J. P. CONTRACTOR,08-May-2026 12:43 AM,Accepted-AOC,AWARDED,25-Jun-2026 01:50 PM,"DAO, AE, EE",Internal,,VIKAS KUREEL,16-May-2026 01:33 PM,18-May-2026 11:00 AM,techsummary_2123437.pdf (275.63 KB),26-May-2026,"INR 1,411,724",90.0,VIKAS KUREEL,25-Jun-2026 01:50 PM,Behta.pdf (407.00 KB),Technical,Summary,VIKAS KUREEL,13-May-2026 10:28 AM,,AOC
,,,,,,,,,,,,.pdf,BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,6091921.0,M/S VIKASH ENTERPRISES,07-May-2026 11:05 AM,Rejected-Finance,REJECT,23-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
