Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,2026_REDUP_1141890_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er Narendra Chaudhary,Vikas Bhawan,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 27 submmersible Pamp va Pani ki Tanki ka Nirman karye.,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 27 submmersible Pamp va Pani ki Tanki ka Nirman karye.,Plz Refer DOC ,NA ,"27,74,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,25-Apr-2026 02:30 PM,04-May-2026 12:30 PM,25-Apr-2026 02:30 PM,04-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 02:30 PM,04-May-2026 12:00 PM,16-May-2026 04:30 PM,"55,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"2,384",Nil,Nil,Yes,AOC,EE RED UNNAO,Internal,Unnao,Narendra chaudhary,16-May-2026 03:29 PM,16-May-2026 04:30 PM,techsummary_2132703.pdf (460.91 KB),Finance,Summary,Narendra chaudhary,06-Jun-2026 01:48 PM,finance_2132703.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,Summmary,Narendra chaudhary,06-Jun-2026 01:52 PM,finsummary_2132703.pdf (816.35 KB),Technical,Summary,Narendra chaudhary,16-May-2026 03:26 PM,technical_2132703.pdf,1,6069457,JITENDRA KUMAR SINGH,26-Apr-2026 01:08 AM,Rejected-AOC,l2,06-Jun-2026 02:03 PM,1.0,6069402.0,M/s Bhoopendra Singh,INR,"2,773,038.82",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1141890_7,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 27 submmersible Pamp va Pani ki Tanki ka Nirman karye.,06-Jun-2026,"INR 2,773,038.82",90.0,Narendra chaudhary,06-Jun-2026 02:03 PM,27S0004.pdf (816.00 KB),l1,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6069402,M/s Bhoopendra Singh,26-Apr-2026 12:09 AM,Accepted-AOC,l1,06-Jun-2026 02:03 PM,,,,,,,,,,,,,,,,,AOC
