Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,5903(49)/NNA/2025-26,2026_DOLBU_1107075_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"41,000",No,fixed,,Nil,Nil,10-Feb-2026 05:00 PM,20-Feb-2026 11:00 AM,10-Feb-2026 05:00 PM,19-Feb-2026 05:00 PM,NA ,NA ,10-Feb-2026 05:00 PM,19-Feb-2026 05:00 PM,16-Mar-2026 06:00 PM,590.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,EE,NAGAR NIGAM ALIGARH,1.0,SBI Bank,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"4,13,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,AOC,Technical,All Documents Completed,Danish Haider Naqvi,16-Mar-2026 03:58 PM,technical_2055715.pdf,ce,Internal,ee,Rajesh Kumar,26-May-2026 01:27 PM,finsummary_2055715.pdf (193.42 KB),Finance,ok,Rajesh Kumar,26-May-2026 01:25 PM,,BOQ Comparative Chart,ce,Internal,ee,Rajvir Singh,16-Mar-2026 04:46 PM,16-Mar-2026 06:00 PM,techsummary_2055715.pdf (193.38 KB),03-Jun-2026,"INR 408,457",30.0,Rajesh Kumar,03-Jun-2026 07:48 PM,cammetti.pdf (193.00 KB),ok,1,5891452,M/S NASEER AHMAD CONTRAC0TOR,19-Feb-2026 12:14 PM,Accepted-AOC,ok,03-Jun-2026 07:48 PM,1.0,5891452.0,M/S NASEER AHMAD CONTRAC0TOR,INR,"408,457",Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1107075_2,5903(49)/NNA/2025-26,NIRMAN WORK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5891475,SURFUDEEN CONTRACTOR,19-Feb-2026 11:58 AM,Rejected-Finance,ok,26-May-2026 01:27 PM,,,,,,,,,,AOC
