Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"2,000",EO NP Ramganj,NP Ramganj Office,No,"1,70,000",No,fixed,,EO NP Ramganj,NP Ramganj Office,EO,Nagar Panchayat Ramganj Office,1.0,FDR - Fixed Deposit,Directorate of Local Bodies UP||Nagar Panchayat Ramganj Pratapgarh,263/15/05/2026,2026_DOLBU_1148713_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,16-May-2026 11:00 AM,05-Jun-2026 02:00 PM,16-May-2026 11:00 AM,05-Jun-2026 11:00 AM,NA ,NA ,16-May-2026 11:00 AM,05-Jun-2026 11:00 AM,09-Jun-2026 02:10 PM,Ward no.13 Sujanpatti me Ram kishor yadav ke ghar se Trilokpatti border tak CC road nirman karya,Ward no.13 Sujanpatti me Ram kishor yadav ke ghar se Trilokpatti border tak CC road nirman karya,Please refer Tender documents. ,NA ,"16,94,067",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Ramganj,230139.0,NA ,NA ,NA ,Nagar Panchayat Ramganj Office,No ,No,1.0,Fee/PreQual/Technical,.pdf,Notice,AOC,1.0,6170111.0,DHANSHRI THAKUR ENTERPRISES,INR,"1,690,701.857",Finance,ok,ranu maurya,09-Jun-2026 11:31 PM,,BOQ Comparative Chart,"EO, Lipic, JE",Internal,,ranu maurya,09-Jun-2026 11:35 PM,finsummary_2150774.pdf (189.81 KB),Directorate of Local Bodies UP||Nagar Panchayat Ramganj Pratapgarh,2026_DOLBU_1148713_12,263/15/05/2026,Ward no.13 Sujanpatti me Ram kishor yadav ke ghar se Trilokpatti border tak CC road nirman karya,1,6170111,DHANSHRI THAKUR ENTERPRISES,05-Jun-2026 06:37 AM,Accepted-AOC,L1,09-Jun-2026 11:39 PM,09-Jun-2026,"INR 1,690,701.857",90.0,ranu maurya,09-Jun-2026 11:38 PM,12boq.pdf (190.00 KB),Technical,ok,ranu maurya,08-Jun-2026 08:10 PM,technical_2150774.pdf,"EO, Lipic, JE",Internal,,ranu maurya,09-Jun-2026 02:06 PM,09-Jun-2026 02:10 PM,techsummary_2150774.pdf (308.08 KB),AOC
,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,2,6168946,M/S BALAJI CONSTRUCTION,04-Jun-2026 06:48 PM,Rejected-Finance,L2,09-Jun-2026 11:35 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6169197,M/S SHIV DEVELOPERS,04-Jun-2026 08:19 PM,Rejected-Finance,L2,09-Jun-2026 11:35 PM,,,,,,,,,,,,,,,,,,,AOC
