Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,technical,Akhilesh kumar kumar,15-May-2026 04:41 PM,technical_2127296.pdf,22-Jun-2026,"INR 650,572.78",60.0,Akhilesh kumar kumar,22-Jun-2026 11:21 AM,order.pdf (1282.00 KB),ward no 19 or 05 kamla nagar me krashno ke makan se lakar ashok hote natthi ke makan tak or khemchand ke makan se krashno ke makan tak gali me interloking road or nali ka nirman kary.,EO,Internal,Accountent je civil,Akhilesh kumar kumar,15-May-2026 05:26 PM,15-May-2026 05:30 PM,techsummary_2127296.pdf (421.05 KB),1,6096636,M/S BALRAM SHARMA THEKEYDAR,07-May-2026 04:36 PM,Accepted-AOC,Accepted,22-Jun-2026 11:21 AM,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1139132_10,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,ward no 19 or 05 kamla nagar me krashno ke makan se lakar ashok hote natthi ke makan tak or khemchand ke makan se krashno ke makan tak gali me interloking road or nali ka nirman kary.,Finance,financial,Akhilesh kumar kumar,22-Jun-2026 11:16 AM,finance_2127296.pdf,BOQ Comparative Chart,EO,Internal,Accountent je civil,Akhilesh kumar kumar,22-Jun-2026 11:19 AM,finsummary_2127296.pdf (1281.69 KB),1.0,6096636.0,M/S BALRAM SHARMA THEKEYDAR,INR,"650,572.78",AOC,"1,020",EO NPP KOSIKALAN,KOSIKALAN,No,ward no 19 or 05 kamla nagar me krashno ke makan se lakar ashok hote natthi ke makan tak or khemchand ke makan se krashno ke makan tak gali me interloking road or nali ka nirman kary.,ward no 19 or 05 kamla nagar me krashno ke makan se lakar ashok hote natthi ke makan tak or khemchand ke makan se krashno ke makan tak gali me interloking road or nali ka nirman kary.,Please refer Tender documents. ,NA ,"6,51,224",Civil Works - Roads,NA ,Tender,60.0,60.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,1.0,FDR - Fixed Deposit,"65,130",No,fixed,,EO NPP KOSIKALAN,KOSIKALAN,EO NPP KOSIKALAN,EO NPP KOSIKALAN,20-Apr-2026 11:00 AM,08-May-2026 03:00 PM,20-Apr-2026 11:00 AM,08-May-2026 02:00 PM,NA ,NA ,20-Apr-2026 11:00 AM,08-May-2026 02:00 PM,15-May-2026 05:30 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,2026_DOLBU_1139132_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,2,6098520,M/S Jay Kay Infratech,08-May-2026 11:33 AM,Rejected-Finance,NOT ACCEPTED,22-Jun-2026 11:19 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,6098422,M/S R K S Work Contractor,08-May-2026 11:11 AM,Rejected-Finance,NOT ACCEPTED,22-Jun-2026 11:19 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
