Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,2026_DOLBU_1139132_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,20-Apr-2026 09:00 AM,08-Jul-2026 03:02 PM,20-Apr-2026 09:00 AM,08-May-2026 02:00 PM,NA ,NA ,20-Apr-2026 09:00 AM,08-May-2026 02:00 PM,15-May-2026 05:40 PM,EO NPP KOSIKALAN,EO NPP KOSIKALAN,480.0,EO NPP KOSIKALAN,KOSIKALAN,No,1.0,FDR - Fixed Deposit,6- WARD NO 16 LALARAM MARG PAR MAHADEVI VARMA SE LAKAR SHAKIR KE MAKAN TAK GALI ME INTERLOKING TIELS OR NALI KA NIRMAN KARY.,6- WARD NO 16 LALARAM MARG PAR MAHADEVI VARMA SE LAKAR SHAKIR KE MAKAN TAK GALI ME INTERLOKING TIELS OR NALI KA NIRMAN KARY.,Please refer Tender documents. ,NA ,"3,72,980",Civil Works - Roads,NA ,Tender,60.0,60.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,"37,230",No,fixed,,EO NPP KOSIKALAN,KOSIKALAN,AOC,EO,Internal,Accountent je civil,Akhilesh kumar kumar,20-Jun-2026 06:40 PM,finsummary_2126897.pdf (867.34 KB),Technical,technical,Akhilesh kumar kumar,15-May-2026 04:17 PM,technical_2126897.pdf,EO,Internal,Accountent je civil,Akhilesh kumar kumar,15-May-2026 05:32 PM,15-May-2026 05:40 PM,techsummary_2126897.pdf (412.28 KB),Finance,WARD NO 16 LALARAM MARG PAR MAHADEVI VARMA SE LAKAR SHAKIR KE MAKAN TAK GALI ME INTERLOKING TIELS OR NALI KA NIRMAN KARY.,Akhilesh kumar kumar,20-Jun-2026 06:35 PM,finance_2126897.pdf,BOQ Comparative Chart,1.0,6098097.0,M/S REKHA GARG,INR,"372,234.04",Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1139132_6,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,6- WARD NO 16 LALARAM MARG PAR MAHADEVI VARMA SE LAKAR SHAKIR KE MAKAN TAK GALI ME INTERLOKING TIELS OR NALI KA NIRMAN KARY.,1,6097611,KAUHSAL KUMAR GARG HUF,08-May-2026 12:50 AM,Rejected-Finance,NOT ACCEPTED,20-Jun-2026 06:40 PM,20-Jun-2026,"INR 372,234.04",60.0,Akhilesh kumar kumar,20-Jun-2026 06:43 PM,order.pdf (867.00 KB),WARD NO 16 LALARAM MARG PAR MAHADEVI VARMA SE LAKAR SHAKIR KE MAKAN TAK GALI ME INTERLOKING TIELS OR NALI KA NIRMAN KARY.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6097345,KRISHNA CONSTUCTIONS,07-May-2026 09:48 PM,Rejected-Finance,NOT ACCEPTED,20-Jun-2026 06:40 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6098097,M/S REKHA GARG,08-May-2026 09:15 AM,Accepted-AOC,Accepted,20-Jun-2026 06:42 PM,,,,,,,,AOC
