Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,LETTAR NO 435 DATE 15.05.2026,2026_REDUP_1150835_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"52,000",Yes,fixed,,Nil,Nil,E.E.R.E.D. HARDOI,E.E.R.E.D. HARDOI,20-May-2026 10:00 AM,25-May-2026 12:30 PM,20-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,25-May-2026 12:00 PM,29-May-2026 12:30 PM,NUMAISH CHAURAHE SE DAK BANGLA HOTE HUYE POST OFFICE TIRAHA SE ZILADHIKARI KARYALAY GATE SANKYA 1 SAMNE TAK EK COAT PAINTING KA KARYA,NUMAISH CHAURAHE SE DAK BANGLA HOTE HUYE POST OFFICE TIRAHA SE ZILADHIKARI KARYALAY GATE SANKYA 1 SAMNE TAK EK COAT PAINTING KA KARYA,NUMAISH CHAURAHE SE DAK BANGLA HOTE HUYE POST OFFICE TIRAHA SE ZILADHIKARI KARYALAY GATE SANKYA 1 SAMNE TAK EK COAT PAINTING KA KARYA ,NA ,"25,92,000",Civil Works,NA ,Tender,90.0,90.0,HARDOI,241001.0,NA ,NA ,NA ,E.E.R.E.D. HARDOI,No ,No,944.0,Nil,Nil,No,AOC,Technical,EE AE DAO,Pradeep Pal,25-May-2026 04:44 PM,technical_2155323.pdf,EE,Internal,EE AE DAO,Pradeep Pal,30-Jun-2026 11:08 AM,finsummary_2155323.pdf (281.18 KB),Finance,EE AE DAO,Pradeep Pal,30-Jun-2026 11:07 AM,finance_2155323.pdf,BOQ Comparative Chart,EE,Internal,EE AE DAO,Pradeep Pal,25-May-2026 04:46 PM,29-May-2026 12:30 PM,techsummary_2155323.pdf (457.50 KB),30-Jun-2026,"INR 2,588,900.678",90.0,Pradeep Pal,30-Jun-2026 11:11 AM,NUMAIS.pdf (281.00 KB),EE AE DAO,1,6138446,M/S Ram Sewak Har Govind Sahai,24-May-2026 09:25 AM,Accepted-AOC,RESPONSIVE,30-Jun-2026 11:11 AM,1.0,6138446.0,M/S Ram Sewak Har Govind Sahai,INR,"2,588,900.678",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,2026_REDUP_1150835_1,LETTAR NO 435 DATE 15.05.2026,NUMAISH CHAURAHE SE DAK BANGLA HOTE HUYE POST OFFICE TIRAHA SE ZILADHIKARI KARYALAY GATE SANKYA 1 SAMNE TAK EK COAT PAINTING KA KARYA,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6139578,M/S SANKAT MOCHAN CONSTRUCTION,25-May-2026 01:24 AM,Rejected-AOC,RESPONSIVE,30-Jun-2026 11:11 AM,,,,,,,,,,AOC
