Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
30-May-2026,"INR 1,444,881",90.0,Abhishek Rai,06-Jun-2026 10:24 AM,bpdf.pdf (153.00 KB),Technical,Opend,Suresh Kumar Jaiswal,10-Feb-2026 08:24 PM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,15-Feb-2026 12:41 PM,15-Feb-2026 12:45 PM,techsummary_2052679.pdf (210.66 KB),Finance,Opend,Suresh Kumar Jaiswal,16-Feb-2026 02:17 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,17-Feb-2026 10:23 AM,finsummary_2052679.pdf (153.00 KB),1.0,5843025.0,M/S PAWAN PUTRA,INR,"1,444,881",1,5843025,M/S PAWAN PUTRA,05-Feb-2026 03:42 PM,Accepted-AOC,L1,06-Jun-2026 10:24 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1110912_39,2592/EE/RED/GKP/25-26 Date 07/01/26,Block-Sardarnagar Gram Belwa babu mein Ajeet Singh Boring ke Shiv Charan ke Ghar Tak CC Road Ka Nirman,AOC,"29,140",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2592/EE/RED/GKP/25-26 Date 07/01/26,2026_REDUP_1110912_39,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Vikash Bhawan,Block-Sardarnagar Gram Belwa babu mein Ajeet Singh Boring ke Shiv Charan ke Ghar Tak CC Road Ka Nirman,Block-Sardarnagar Gram Belwa babu mein Ajeet Singh Boring ke Shiv Charan ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"14,57,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,812.0,Nil,Nil,No,03-Feb-2026 09:00 AM,10-Feb-2026 09:00 AM,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,15-Feb-2026 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5843156,M/S TIJA ENTERPRISES,05-Feb-2026 01:50 PM,Rejected-AOC,L2,06-Jun-2026 10:24 AM,,,,,AOC,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
