Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Poo Ja,24-Apr-2026 07:45 PM,finsummary_2085600.pdf (93.82 KB),27-May-2026,"INR 255,637",60.0,Sanjay kumar Tiwari,17-Jun-2026 08:26 AM,Scan_0016.pdf (552.00 KB),Finance,FINANCIAL BID OPENED,Poo Ja,24-Apr-2026 10:45 AM,,BOQ Comparative Chart,"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,23-Apr-2026 04:19 PM,23-Apr-2026 04:30 PM,techsummary_2085600.pdf (469.83 KB),1.0,5982988.0,m/s pradeep kumar pandey,INR,"255,637",Technical,TECHNICAL BID OPENED,Sanjay kumar Tiwari,22-Apr-2026 02:48 PM,,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,2026_DOLBU_1120164_269,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,WARD NO.32 ME JAN MOHAMMAD KE GHAR SE JAINAB V IMRAN KURAISHI KE MAKAN TAK MITTI KHADNJA KARYA,1,5983073,ANNANT TIWARI,17-Mar-2026 08:38 PM,Rejected-Finance,L2,24-Apr-2026 07:45 PM,AOC,802.0,Nil,Nil,No,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,23-Apr-2026 04:30 PM,EO NPP DEORIA,NPP DEORIA,1.0,SBI Bank,"25,594",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDERNOTICE,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,2026_DOLBU_1120164_269,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,WARD NO.32 ME JAN MOHAMMAD KE GHAR SE JAINAB V IMRAN KURAISHI KE MAKAN TAK MITTI KHADNJA KARYA,WARD NO.32 ME JAN MOHAMMAD KE GHAR SE JAINAB V IMRAN KURAISHI KE MAKAN TAK MITTI KHADNJA KARYA,Please refer Tender documents. ,NA ,"2,55,944",Civil Works,NA ,Tender,90.0,60.0,NPP DEORIA,274001.0,NA ,NA ,NA ,NPP DEORIA,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5982988,m/s pradeep kumar pandey,17-Mar-2026 08:01 PM,Accepted-AOC,L1,17-Jun-2026 08:26 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5983114,M/S RAM BAHADUR CONTRACTOR,17-Mar-2026 08:59 PM,Rejected-Finance,L3,24-Apr-2026 07:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
