Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,1043/EERED/TENDER/2025-26/ Dt 16-01-2026,2026_REDUP_1113461_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,09-Feb-2026 10:00 AM,16-Feb-2026 12:30 PM,09-Feb-2026 10:00 AM,14-Feb-2026 10:30 AM,NA ,NA ,09-Feb-2026 10:00 AM,14-Feb-2026 10:30 AM,23-May-2026 02:00 PM,01-Construction of CC road from Hanuman Temple to Jaichand house in village Rasulpur Gujran.,01-Construction of CC road from Hanuman Temple to Jaichand house in village Rasulpur Gujran.,Please refer Tender documents. ,NA ,,Construction Works,NA ,Tender,30.0,90.0,SHAMLI,247776.0,NA ,NA ,NA ,"EE RED Office, Shamli",No ,No,EE RED Shamli,"EE RED Office, Shamli",1.0,SBI Bank,"22,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Docoments,AOC,Executive Engineer,Internal,,Avinash Kumar,09-Jun-2026 06:26 PM,finsummary_2061323.pdf (19.39 KB),Technical,ok,Avinash Kumar,18-Mar-2026 11:30 AM,technical_2061323.pdf,Executive Engineer,Internal,,Avinash Kumar,23-May-2026 01:59 PM,23-May-2026 02:00 PM,techsummary_2061323.pdf (79.79 KB),Finance,OK,Parmod Kumar,23-May-2026 02:09 PM,,BOQ Comparative Chart,1,5868020,M/S SAHRAWAT CONTRACTOR,14-Feb-2026 10:09 AM,Accepted-AOC,L1,17-Jun-2026 11:23 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,2026_REDUP_1113461_1,1043/EERED/TENDER/2025-26/ Dt 16-01-2026,01-Construction of CC road from Hanuman Temple to Jaichand house in village Rasulpur Gujran.,1.0,5868020.0,M/S SAHRAWAT CONTRACTOR,INR,"1,049,884.011",10-Jun-2026,"INR 1,049,884.011",90.0,Avinash Kumar,17-Jun-2026 11:23 AM,BidFoundsuccessfull.pdf (19.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5867234,M/S Vaibhav Builders,13-Feb-2026 12:02 PM,Rejected-Finance,L2,09-Jun-2026 06:26 PM,,,,,,,,,,,,,,,,AOC
