Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,TN-12/EE/2025-26 Road renovation work of total length 0.210 km in Kila Parikshitgarh Inspection Building Complex. Lot No-01,TN-12/EE/2025-26 Road renovation work of total length 0.210 km in Kila Parikshitgarh Inspection Building Complex. Lot No-01,As per NIT and TD ,NA ,"8,16,000",Civil Works,Road ,Tender,90.0,30.0,As Per NIT,250001.0,NA ,NA ,NA ,MEERUT,No ,No,Executive Engineer,OFFICE OF THE EXECUTIVE ENGINEER ANOOPSHAHAR BRANCH DIVISION GANGA CANAL MEERUT,07-Feb-2026 10:00 AM,14-Feb-2026 11:00 AM,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,16-Feb-2026 04:50 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Anoopshahar Division Ganga Canal, Panchsheel Nagar",TN-12/EE/2025-26,2026_UPIDC_1113280_1,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,"16,320",No,percentage,2.0%,Nil,Nil,AOC,Finance,Financial Evaluation,Man Mohan Singh,16-Feb-2026 06:09 PM,finance_2060204.pdf,BOQ Comparative Chart,EE Manmohan Singh,Internal,EE Vikas Kumar,Man Mohan Singh,16-Feb-2026 04:44 PM,16-Feb-2026 04:50 PM,techsummary_2060204.pdf (2856.86 KB),Technical,Technical Evaluation,Man Mohan Singh,16-Feb-2026 04:41 PM,technical_2060204.pdf,EE Manmohan Singh,Internal,EE Vikas Kumar,Man Mohan Singh,16-Feb-2026 06:15 PM,finsummary_2060204.pdf (2856.86 KB),01-Jun-2026,"INR 653,257",30.0,Man Mohan Singh,01-Jun-2026 11:18 AM,kila.pdf (103.00 KB),Agreement With L1,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut||Anoopshahar Division Ganga Canal, Panchsheel Nagar",2026_UPIDC_1113280_1,TN-12/EE/2025-26,TN-12/EE/2025-26 Road renovation work of total length 0.210 km in Kila Parikshitgarh Inspection Building Complex. Lot No-01,1.0,5850648.0,SINGHWAL INDUSTRIES,INR,"653,257",1,5865613,M/S N.K. CONTRACTOR,12-Feb-2026 05:25 PM,Rejected-Finance,Agreement With L1,16-Feb-2026 06:15 PM,AOC
2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5850648,SINGHWAL INDUSTRIES,12-Feb-2026 06:31 PM,Accepted-AOC,Agreement with L1,01-Jun-2026 11:18 AM,AOC
