Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,234/EE/RED/22-04-2025,2026_REDUP_1145823_19,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,559.0,Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical bid,Installation work of high mast lights at public places at the specified locations in village and G.P. Khatana,Installation work of high mast lights at public places at the specified locations in village and G.P. Khatana,Please refer Tender documents. ,NA ,"1,88,416",Civil Works - Others,NA ,Tender,90.0,90.0,Mainpuri,205001.0,NA ,NA ,NA ,E.E.RED VIKAS BHAWAN MAINPURI,No ,No,"4,000",Yes,fixed,,Nil,Nil,11-May-2026 10:00 AM,25-May-2026 12:30 PM,11-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,11-May-2026 10:00 AM,25-May-2026 12:00 PM,03-Jun-2026 10:00 AM,E.E.RED VIKAS BHAWAN MAINPURI,E.E.RED VIKAS BHAWAN MAINPURI,AOC,1.0,6135751.0,SHRI SHIVENDRA KUMAR,INR,"188,322",Finance,ALL BIDS ADMITTED,Nuzahat Parveen,03-Jun-2026 04:07 PM,,BOQ Comparative Chart,E.E.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",MUKESH VERMA,10-Jun-2026 04:05 PM,finsummary_2143352.pdf (191.69 KB),1,6137183,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,24-May-2026 11:12 AM,Rejected-AOC,L-2,29-Jun-2026 12:49 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1145823_19,234/EE/RED/22-04-2025,Installation work of high mast lights at public places at the specified locations in village and G.P. Khatana,Er.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,01-Jun-2026 01:25 PM,03-Jun-2026 10:00 AM,techsummary_2143352.pdf (294.06 KB),20-Jun-2026,"INR 188,322",90.0,Nuzahat Parveen,29-Jun-2026 12:49 PM,AAA_0001.pdf (284.00 KB),Technical,All bids admitted,Nuzahat Parveen,25-May-2026 02:56 PM,,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6135751,SHRI SHIVENDRA KUMAR,24-May-2026 05:05 PM,Accepted-AOC,L-1,29-Jun-2026 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
