Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, aligarh",01/EE/2026-27,2026_UPIDC_1152951_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Work Name,Other,,"27,600",No,fixed,,Nil,Nil,Executive Engineer Drainage DivisionAligarh,Executive Engineer Drainage DivisionAligarh,25-May-2026 10:00 AM,01-Jun-2026 12:00 PM,25-May-2026 10:00 AM,01-Jun-2026 12:00 PM,NA ,NA ,25-May-2026 10:00 AM,01-Jun-2026 12:00 PM,08-Jun-2026 03:00 PM,1,Fee/PreQual/Technical,.pdf,Technical Documents,Silt clearance of Sirsa drain from km 203.650 to km 210.600 and km 230.587 and km 235,Silt clearance of Sirsa drain from km 203.650 to km 210.600 and km 230.587 and km 235,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,NA ,Hathras,204101.0,NA ,NA ,NA ,DD Aligarh,No ,No,766.0,Nil,Nil,No,AOC,Committee,Internal,,Kalpana Yadav,08-Jun-2026 02:53 PM,08-Jun-2026 03:00 PM,techsummary_2160164.pdf (274.73 KB),Finance,Admitted,Kalpana Yadav,08-Jun-2026 08:04 PM,,BOQ Comparative Chart,Committee,Internal,As per file attached,Kalpana Yadav,23-Jun-2026 11:17 AM,finsummary_2160164.pdf (274.73 KB),Technical,Admitted,Kalpana Yadav,06-Jun-2026 09:07 AM,,1.0,6157116.0,AASTHA CONTRUCTION,INR,"692,517.45","U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, aligarh",2026_UPIDC_1152951_6,01/EE/2026-27,Silt clearance of Sirsa drain from km 203.650 to km 210.600 and km 230.587 and km 235,1,6157116,AASTHA CONTRUCTION,01-Jun-2026 10:40 AM,Accepted-AOC,Accepted,23-Jun-2026 11:47 AM,23-Jun-2026,"INR 692,517.45",15.0,Kalpana Yadav,23-Jun-2026 11:47 AM,Sirsa203.pdf (309.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6158084,M/s Suresh Chandra Thekedar,01-Jun-2026 10:43 AM,Rejected-AOC,rejected,23-Jun-2026 11:47 AM,,,,,,,AOC
