Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1846/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1139161_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"12,000",No,fixed,,Nil,Nil,EE RED BSR,EE RED BSR,Construction of CC road and drain from Suraj house towards Devi Mata Temple in village Gava.,Construction of CC road and drain from Suraj house towards Devi Mata Temple in village Gava.,Please refer Tender documents. ,NA ,"5,83,000",Civil Works,NA ,Tender,90.0,120.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,24-Apr-2026 11:00 AM ,EE RED BSR,No ,No,1,Fee/PreQual/Technical,.pdf,T1,856.0,Nil,Nil,No,1.0,SBI Bank,20-Apr-2026 12:00 PM,30-Apr-2026 04:00 PM,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,NA ,NA ,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,19-May-2026 12:00 PM,AOC,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,16-May-2026 12:14 PM,19-May-2026 12:00 PM,techsummary_2126940.pdf (523.48 KB),Finance,Gava,Vishnoo Kumar,16-Jun-2026 07:37 PM,finance_2126940.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,16-Jun-2026 08:16 PM,finsummary_2126940.pdf (22.07 KB),Technical,Gwasuraj,Vishnoo Kumar,16-May-2026 12:09 PM,technical_2126940.pdf,1,6066969,DURGA ENTERPRISES,24-Apr-2026 05:32 PM,Rejected-Finance,L2,16-Jun-2026 08:16 PM,1.0,6066838.0,SURENDRA SAROJ CONSTRUCTIONS,INR,"581,649",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1139161_1,1846/RED/Tender/ 2025-26/Dt 31/03/26,Construction of CC road and drain from Suraj house towards Devi Mata Temple in village Gava.,16-Jun-2026,"INR 581,649",120.0,Vishnoo Kumar,16-Jun-2026 08:24 PM,BonGawa.pdf (824.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOq,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6066838,SURENDRA SAROJ CONSTRUCTIONS,24-Apr-2026 06:43 PM,Accepted-AOC,L1,16-Jun-2026 08:24 PM,,,,,,,,,,,,,,,,AOC
