S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,26-Mar-2026 03:00 PM,30-Mar-2026 04:00 PM,26-Mar-2026 03:00 PM,30-Mar-2026 03:00 PM,NA ,NA ,26-Mar-2026 03:00 PM,30-Mar-2026 03:00 PM,Work of thermoplast penting and rambal strip at gyan prakashroad for the work of zero fetility district under kanpur nagar,Work of thermoplast penting and rambal strip at gyan prakashroad for the work of zero fetility district under kanpur nagar,Please refer Tender documents. ,NA ,"9,95,422",Civil Works,NA ,Tender,90.0,45.0,gyan prakash,208001.0,NA ,NA ,NA ,"Chief Engineer Office, KNN, Motijheel",No ,No,"Chief Engineer, KNN","Chief Engineer, KNN","1,180",Nil,Nil,No,"Kanpur Municipal Corporation, Kanpur, UP",56/AA(T)/25-26,2026_NNKAN_1130666_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"99,542",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,AOC,EE tr,Internal,EE tr,MEENAKSHI AGARWAL,26-Apr-2026 01:49 PM,finsummary_2109379.pdf (44.15 KB),EE tr,Internal,EE TR,MEENAKSHI AGARWAL,26-Apr-2026 01:07 PM,techsummary_2109379.pdf (44.15 KB),11-May-2026,"INR 846,108",45.0,MEENAKSHI AGARWAL,03-Jun-2026 01:53 PM,Gyan_prakash_road_Navya_AOC.pdf (245.00 KB),AOC issue,1,6022080,A K ENTERPRISES,30-Mar-2026 01:40 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,1.0,6018128.0,NAVYA CONSTRUCTION,INR,"846,108","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1130666_1,56/AA(T)/25-26,Work of thermoplast penting and rambal strip at gyan prakashroad for the work of zero fetility district under kanpur nagar,Finance,Bids submitted,MEENAKSHI AGARWAL,04-Apr-2026 12:23 PM,finance_2109379.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5 pending work Affidavit,AOC,,,,,,,,,,,,,,,,,,,,2,6021327,BAGHEL CONTRACTOR,30-Mar-2026 11:15 AM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,6018812,KSHAMA ENTERPRISES,29-Mar-2026 04:17 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,6016624,M/s Jagdamba Enterprises,28-Mar-2026 06:29 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,6022111,M/S P.K. ENTERPRISE,30-Mar-2026 01:49 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,6022142,M/S RAJESH KUMAR KATIYAR,30-Mar-2026 01:46 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,6020006,M/S SKY LINE ENTERPRISES,29-Mar-2026 11:02 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,6021904,M/s Varun Enterprises,30-Mar-2026 12:53 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,6018128,NAVYA CONSTRUCTION,29-Mar-2026 01:10 PM,Accepted-AOC,AOC issue,03-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,6021400,OMKAR CONTRACTORS,30-Mar-2026 11:55 AM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,11,6018979,S.A.Enterprises,29-Mar-2026 05:08 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,12,6019507,S K CONSTRUCTION,29-Mar-2026 07:30 PM,Rejected-Finance,Not Selected in Lottery,26-Apr-2026 01:49 PM,,,,,,,,,,,,,,,,AOC
