Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",812/A.A.-4/25-26,2026_NNKAN_1136271_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"Chief Engineer, KNN","Chief Engineer office, KNN, Motijheel",13-Apr-2026 01:00 PM,17-Apr-2026 04:00 PM,13-Apr-2026 01:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 01:00 PM,17-Apr-2026 03:00 PM,1.0,SBI Bank,"14,028",No,percentage,10.0%,Nil,Nil,Repairing and painting of community toilet situated at Rave-03 in ward-04 Gwaltoli under zone-04,Repairing and painting of community toilet situated at Rave-03 in ward-04 Gwaltoli under zone-04,Please refer Tender documents. ,NA ,"1,40,275",Civil Works,NA ,Tender,90.0,30.0,ward-04 Gwaltoli,208001.0,NA ,NA ,NA ,"Executive Engineer Office, Motijheel, Kanpur",No ,No,590.0,Nil,Nil,No,AOC,EE 4,Internal,EE 4,MEENAKSHI AGARWAL,04-Jun-2026 09:34 PM,techsummary_2121798.pdf (96.64 KB),EE 4,Internal,E E 4,MEENAKSHI AGARWAL,05-Jun-2026 10:16 AM,finsummary_2121798.pdf (96.64 KB),Finance,Bids submitted,MEENAKSHI AGARWAL,24-Apr-2026 06:58 PM,finance_2121798.pdf,BOQ Comparative Chart,05-Jun-2026,"INR 119,233",30.0,MEENAKSHI AGARWAL,05-Jun-2026 10:20 AM,812.pdf (240.00 KB),Agreement Deed Complete,1,6053535,ELITE CONSTRUCTION COMPANY,17-Apr-2026 10:53 AM,Accepted-AOC,Aoc issue,05-Jun-2026 10:20 AM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1136271_1,812/A.A.-4/25-26,Repairing and painting of community toilet situated at Rave-03 in ward-04 Gwaltoli under zone-04,1.0,6053535.0,ELITE CONSTRUCTION COMPANY,INR,"119,233",AOC
,,,,,,,,,,,,,,,,.pdf,Scan copy of Affidavit of pending works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,6052992,SHREE RADHEY ENTERPRISES,17-Apr-2026 08:47 AM,Rejected-Finance,Not Selected in Lottery,05-Jun-2026 10:16 AM,,,,,,,,,,AOC
