Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
16-Jun-2026,"INR 688,598.84",10.0,umesh chandra,19-Jun-2026 02:05 PM,Lot07.pdf (231.00 KB),Umesh Chandra Neeraj Kumar,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",2026_UPIDC_1155019_7,01/EE/2026-27,01/EE/2026-27,1.0,6159700.0,M/S AVNISH CONTRACTOR,INR,"688,598.84",1,6159700,M/S AVNISH CONTRACTOR,02-Jun-2026 12:51 PM,Accepted-AOC,Accepted,19-Jun-2026 02:05 PM,Technical,Admitted,umesh chandra,06-Jun-2026 04:56 PM,,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,16-Jun-2026 03:46 PM,finsummary_2163570.pdf (192.01 KB),Finance,Admitted,umesh chandra,08-Jun-2026 02:48 PM,,BOQ Comparative Chart,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,06-Jun-2026 06:05 PM,08-Jun-2026 11:00 AM,techsummary_2163570.pdf (357.94 KB),AOC,1.0,Fee,.pdf,Fee,"27,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",01/EE/2026-27,2026_UPIDC_1155019_7,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,01/EE/2026-27,Making of porcupine cutter and screening work from km. 2.172 to 2.200 of Chandanpur-Husainpur tatbund on left bank of river Ganga in Distt. Budaun,Please refer Tender documents. ,NA ,"13,30,000",Civil Works,NA ,Rate Contract,90.0,NA ,Budaun,243601.0,NA ,NA ,NA ,Executive Engineer Flood Division Budaun,No ,No,354.0,Nil,Nil,No,Executive Engineer Flood Division Budaun,Executive Engineer Flood Division Budaun Near LIC Office Awas Vikas Colony Civil Line Buduan,28-May-2026 06:00 PM,03-Jun-2026 02:00 PM,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,NA ,NA ,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,08-Jun-2026 11:00 AM,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,6163967,M/S DEVENDRA PAL SINGH,03-Jun-2026 09:29 AM,Rejected-AOC,Rejected,19-Jun-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6155447,M/S J K INTERLOCKING BRICKS,01-Jun-2026 08:03 PM,Rejected-AOC,Rejected,19-Jun-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6156168,M/S MADAN LAL CONTRACTOR & SUPLAYARS,31-May-2026 07:05 PM,Rejected-AOC,Rejected,19-Jun-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6154641,RAJKUMARI,02-Jun-2026 09:14 AM,Rejected-AOC,Rejected,19-Jun-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
