Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,2026_REDUP_1139438_4,29 date 02.04.2026,VIKASH KHAND KARANDA KE GRAM PANCHAYAT LAKHANCHANDPUR ME MUKHYA MARG SE HARIJAN BASTI SAPMARK MARG TAK PICH ROAD KA NIRMAN KARY,1.0,6088564.0,MANORAMA CONSTRUCTION,INR,"3,905,440",1,6088564,MANORAMA CONSTRUCTION,04-May-2026 07:06 PM,Accepted-AOC,L1,23-Jun-2026 05:28 PM,23-Jun-2026,"INR 3,905,440",90.0,Puneet Kumar,23-Jun-2026 05:28 PM,a1.pdf (204.00 KB),L1,EE,Internal,AE DAO,Puneet Kumar,19-May-2026 07:32 PM,23-May-2026 01:00 PM,techsummary_2127406.pdf (450.79 KB),Finance,open,Puneet Kumar,23-May-2026 02:54 PM,finance_2127406.pdf,BOQ Comparative Chart,EE,Internal,AE DAO,Puneet Kumar,23-Jun-2026 05:25 PM,finsummary_2127406.pdf (204.17 KB),Technical,open,Puneet Kumar,05-May-2026 04:01 PM,technical_2127406.pdf,AOC,"66,220",Yes,percentage,2.0%,Nil,Nil,E.E. R.E.D. GHAZIPUR,OFFICE E.E. R.E.D. GHAZIPUR,VIKASH KHAND KARANDA KE GRAM PANCHAYAT LAKHANCHANDPUR ME MUKHYA MARG SE HARIJAN BASTI SAPMARK MARG TAK PICH ROAD KA NIRMAN KARY,VIKASH KHAND KARANDA KE GRAM PANCHAYAT LAKHANCHANDPUR ME MUKHYA MARG SE HARIJAN BASTI SAPMARK MARG TAK PICH ROAD KA NIRMAN KARY,Please refer Tender documents. ,NA ,"33,11,000",Civil Works,NA ,Tender,90.0,90.0,GHAZIPUR,226007.0,NA ,NA ,NA ,OFFICE E.E. R.E.D. GHAZIPUR,No ,No,854.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,29 date 02.04.2026,2026_REDUP_1139438_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Apr-2026 03:00 PM,05-May-2026 12:30 PM,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,23-May-2026 01:00 PM,1.0,SBI Bank,1.0,date,Date,,1,Fee/PreQual/Technical,.pdf,fee and document,AOC
,,,,,,,,,2,6089506,M/S GAUTAM ENTERPRISES,05-May-2026 10:35 AM,Rejected-Finance,L2,23-Jun-2026 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
