Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Work of VCB Repair under the jurisdiction of EDD-Oon.,Work of VCB Repair under the jurisdiction of EDD-Oon.,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,180.0,365.0,SE EDC SHAMLI,247776.0,NA ,NA ,NA ,SE EDC SHAMLI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Work of VCB Repair under the jurisdiction of EDD-Oon.,"1,180",SE EDC SHAMLI,SHAMLI,No,SE EDC SHAMLI,"NEAR 33/11 KV S/S KHERI KARMU, SHAMLI",Paschimanchal Vidyut Vitran Nigam Ltd.,E-TENDER NO-36/2026-27,2026_PVVNL_1157764_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"3,000",No,fixed,,SE EDC SHAMLI,SHAMLI,1.0,RTGS - RTGS Payment,06-Jun-2026 06:00 PM,12-Jun-2026 03:00 PM,06-Jun-2026 06:00 PM,12-Jun-2026 12:00 PM,NA ,NA ,06-Jun-2026 06:00 PM,12-Jun-2026 12:00 PM,18-Jun-2026 05:45 PM,AOC,VEERANDRA SINGH,Internal,,Veerandra Singh,18-Jun-2026 05:40 PM,18-Jun-2026 05:45 PM,techsummary_2169682.pdf (66.82 KB),Finance,Work of VCB Repair under the jurisdiction of EDD-Oon.,Veerandra Singh,19-Jun-2026 10:24 AM,finance_2169682.pdf,BOQ Comparative Chart,VEERANDRA SINGH,Internal,,Veerandra Singh,19-Jun-2026 10:25 AM,finsummary_2169682.pdf (66.08 KB),Technical,Work of VCB Repair under the jurisdiction of EDD-Oon.,Veerandra Singh,18-Jun-2026 05:38 PM,technical_2169682.pdf,1.0,6190038.0,ANSHIKA ENTERPRISES,INR,"53,800",Paschimanchal Vidyut Vitran Nigam Ltd.,2026_PVVNL_1157764_1,E-TENDER NO-36/2026-27,Work of VCB Repair under the jurisdiction of EDD-Oon.,1,6190038,ANSHIKA ENTERPRISES,12-Jun-2026 10:35 AM,Accepted-AOC,L1,19-Jun-2026 10:27 AM,19-Jun-2026,"INR 53,800",365.0,Veerandra Singh,19-Jun-2026 10:27 AM,AWARDFINAL.pdf (253.00 KB),Work of VCB Repair under the jurisdiction of EDD-Oon.,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Work of VCB Repair under the jurisdiction of EDD-Oon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6189354,HIGH TECH ENGINEERS,11-Jun-2026 07:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Jun-2026 05:38 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6189859,M/S SAI TRADERS,12-Jun-2026 09:15 AM,Rejected-AOC,L2,19-Jun-2026 10:27 AM,,,,,,,,AOC
