Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1134680_1,1843/RED/Tender/ 2025-26/Dt 31/03/26,Village Mullani Construction of a CC road and drainage system from Sheoraj Master house towards Narendra Giri house.,1.0,6080800.0,M/S HINDUSTAN CONSTRUCTION,INR,"2,064,795",1,6081373,G S Traders,01-May-2026 05:16 AM,Rejected-Finance,L2,01-Jun-2026 01:26 PM,01-Jun-2026,"INR 2,064,795",180.0,Vishnoo Kumar,01-Jun-2026 01:58 PM,BonMullani.pdf (235.00 KB),ee red bsr,Internal,ee dao,Vishnoo Kumar,13-May-2026 03:42 PM,15-May-2026 12:00 PM,techsummary_2118305.pdf (603.85 KB),Finance,Mullani,Vishnoo Kumar,01-Jun-2026 01:21 PM,finance_2118305.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,22-Jul-2026 04:41 PM,finsummary_2118305.pdf (63.47 KB),Technical,mullani,Vishnoo Kumar,13-May-2026 03:40 PM,technical_2118305.pdf,AOC,"42,000",No,fixed,,Nil,Nil,1,1843/RED/BSR/DT. 31-03-2026,BOQ,,944.0,Nil,Nil,No,EE RED BSR,EE RED BSR,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1843/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1134680_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Village Mullani Construction of a CC road and drainage system from Sheoraj Master house towards Narendra Giri house.,Village Mullani Construction of a CC road and drainage system from Sheoraj Master house towards Narendra Giri house.,Please refer Tender documents. ,NA ,"20,69,000",Civil Works,NA ,Tender,105.0,180.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,30-Apr-2026 11:00 AM ,EE RED BSR,No ,No,16-Apr-2026 12:00 PM,02-May-2026 04:00 PM,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,15-May-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,T1,AOC
,,,,,,,,,2,6080800,M/S HINDUSTAN CONSTRUCTION,01-May-2026 02:35 AM,Accepted-AOC,L1,01-Jun-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,1843/RED/BSR/2025-26/31/03/26,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
