Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,10_NP Pipiganj_07-04-2026,2026_DOLBU_1134034_34,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Ward No. 14 me Covered RCC Nali and CC Road Work,Ward No. 14 me Covered RCC Nali and CC Road Work,Please refer Tender documents. ,NA ,"11,94,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,150",Nagar Panchayat Pipiganj,Gorakhpur,No,"1,19,400",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,29-Apr-2026 01:45 PM,1.0,RTGS - RTGS Payment,1.0,Suchana,Other,,AOC,1.0,6053873.0,M/s MAHAKAAL ASSOCIATES,INR,"1,193,940.3",Finance,3 Bids,Anjneya Mishra,09-May-2026 03:36 PM,finance_2117048.pdf,BOQ Comparative Chart,Anjneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,10-May-2026 03:47 PM,finsummary_2117048.pdf (5698.65 KB),Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1134034_34,10_NP Pipiganj_07-04-2026,Ward No. 14 me Covered RCC Nali and CC Road Work,1,6053913,BALENDRA SINGH,17-Apr-2026 01:14 PM,Rejected-Finance,L2,10-May-2026 03:47 PM,29-May-2026,"INR 1,193,940.3",90.0,Anjneya Mishra,08-Jun-2026 12:18 PM,34.pdf (443.00 KB),Mahakal Associate,Technical,3 Bids,Anjneya Mishra,29-Apr-2026 12:05 PM,technical_2117048.pdf,Ajneya Mishra,Internal,026_DOLBU_1134034_30,Anjneya Mishra,29-Apr-2026 01:40 PM,29-Apr-2026 01:45 PM,techsummary_2117048.pdf (4110.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6053873,M/s MAHAKAAL ASSOCIATES,17-Apr-2026 01:00 PM,Accepted-AOC,L1,08-Jun-2026 12:18 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6053999,M/s Shivam Construction,17-Apr-2026 01:52 PM,Rejected-Finance,L3,10-May-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,AOC
