Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE,Internal,,Naveen Kumar Singh,04-Jun-2026 01:23 PM,04-Jun-2026 04:00 PM,techsummary_2162131.pdf (262.40 KB),Technical,technical,Naveen Kumar Singh,03-Jun-2026 02:39 PM,,19-Jun-2026,"INR 380,482.8",20.0,Naveen Kumar Singh,19-Jun-2026 05:46 PM,14.pdf (262.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",2026_UPIDC_1151316_14,01/EE/2026-27,lot 14,1,6156020,M/S FIZZA CONTRACTORS,31-May-2026 12:32 PM,Accepted-AOC,1,19-Jun-2026 05:46 PM,1.0,6156020.0,M/S FIZZA CONTRACTORS,INR,"380,482.8",EE,Internal,,Naveen Kumar Singh,18-Jun-2026 10:26 AM,finsummary_2162131.pdf (262.40 KB),Finance,financial,Naveen Kumar Singh,06-Jun-2026 12:05 PM,,BOQ Comparative Chart,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",01/EE/2026-27,2026_UPIDC_1151316_14,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,lot 14,lot 14,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,20.0,rampur,244901.0,NA ,NA ,NA ,RCD rampur,No ,No,Executive Engineer,RCD rampur,1,Fee/PreQual/Technical,.pdf,NIT,354.0,Nil,Nil,No,"8,000",No,fixed,,Nil,Nil,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,NA ,NA ,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,04-Jun-2026 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6159317,NITISH AGARWAL,01-Jun-2026 04:24 PM,Rejected-AOC,2,19-Jun-2026 05:46 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
