Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
01-Jun-2026,"INR 691,134.42",90.0,Ratnesh Kumar Gond,01-Jun-2026 05:56 PM,rispansiv2630.pdf (127.00 KB),aqoc,1.0,6055463.0,JYOTI SINGH,20-Apr-2026 01:38 AM,Rejected-Finance,second lowest,01-Jun-2026 05:54 PM,1.0,6055429.0,PARIHAR ENTERPRISES,INR,"691,134.42",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1132810_1,2630/EE/RED/2025-26/23-03-2026,Lot93 vikash khand belhri ke gram sabha sultanpur me ved prakash paswan ke ghar se ram vilash paswan ke ghar tak CC road ka nirman kary,Finance,2 bid,Ratnesh Kumar Gond,29-Apr-2026 03:24 PM,,BOQ Comparative Chart,EE,Internal,aedao,ROLI VISHVKARMA,29-Apr-2026 12:13 PM,29-Apr-2026 01:00 PM,techsummary_2114415.pdf (131.72 KB),Technical,2 bid,Ratnesh Kumar Gond,24-Apr-2026 11:43 AM,,EE,Internal,aedao,Ratnesh Kumar Gond,01-Jun-2026 05:54 PM,finsummary_2114415.pdf (126.98 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Tender FEE EMD,1.0,SBI Bank,EE RED DIV Ballia,EE RED DIV Ballia,13-Apr-2026 09:00 AM,22-Apr-2026 12:00 PM,13-Apr-2026 09:00 AM,21-Apr-2026 12:00 PM,NA ,NA ,13-Apr-2026 09:00 AM,21-Apr-2026 12:00 PM,29-Apr-2026 01:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2630/EE/RED/2025-26/23-03-2026,2026_REDUP_1132810_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Lot93 vikash khand belhri ke gram sabha sultanpur me ved prakash paswan ke ghar se ram vilash paswan ke ghar tak CC road ka nirman kary,Lot93 vikash khand belhri ke gram sabha sultanpur me ved prakash paswan ke ghar se ram vilash paswan ke ghar tak CC road ka nirman kary,Please refer Tender documents. ,NA ,"6,93,000",Civil Works,NA ,Tender,90.0,90.0,ballia,277001.0,NA ,NA ,NA ,EE RED DIV Ballia,No ,No,856.0,Nil,Nil,No,"14,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,2.0,6055429.0,PARIHAR ENTERPRISES,21-Apr-2026 12:22 AM,Accepted-AOC,aoc,01-Jun-2026 05:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,other tecnical document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq for rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
