Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"General Manager, UPPCL, Zone-6 Noida","K-2, Sector-116, Noida Gautambudha Nagar",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida,11/PCL/GM/Zone-6/Noida/2026-27 DT 25.04.2026,2026_UPPRC_1142784_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,"1,46,000",No,fixed,,Nil,Nil,"Construction work of Drinking Water Facility, Toilet Block, 02 Nos. Additional Class Room and Library at Govt. High School Peeplikheda in District Meerut","Construction work of Drinking Water Facility, Toilet Block, 02 Nos. Additional Class Room and Library at Govt. High School Peeplikheda in District Meerut",Please refer Tender documents. ,NA ,"72,56,000",Civil Works,NA ,Tender,90.0,270.0,Govt. High School Peeplikheda in District Meerut,250004.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,1.0,SBI Bank,1.0,Extend of date,Date,,"11,800",Nil,Nil,No,27-Apr-2026 05:00 PM,20-May-2026 03:00 PM,27-Apr-2026 05:00 PM,20-May-2026 02:00 PM,NA ,NA ,27-Apr-2026 05:00 PM,20-May-2026 02:00 PM,03-Jun-2026 11:00 AM,AOC,General Manager Zone-6 Noida,Internal,Project Manager Unit 33 Meerut Project Manager Unit 26 Saharanpur Accountant Unit 33 Meerut,Karmendra Kumar Agrawal,02-Jun-2026 04:39 PM,03-Jun-2026 11:00 AM,techsummary_2134174.pdf (1642.86 KB),Finance,Technically Qualified bidders bids opened. Out of them M/s ANSHI CONSTRUCTION Bid is First Lowest of amount Rupees 5824773.780,Karmendra Kumar Agrawal,06-Jun-2026 04:49 PM,finance_2134174.pdf,BOQ Comparative Chart,General Manager Zone-6 Noida,Internal,Project Manager Unit 33 Meerut Project Manager Unit 26 Saharanpur Accountant Unit 33 Meerut,Karmendra Kumar Agrawal,06-Jun-2026 04:51 PM,finsummary_2134174.pdf (1642.86 KB),Technical,Two Bids are received. All are found Technically qualified,Karmendra Kumar Agrawal,02-Jun-2026 04:36 PM,technical_2134174.pdf,1,6127916,A.A.ENTERPRISES,19-May-2026 04:52 PM,Rejected-AOC,Second Lowest,12-Jun-2026 01:20 PM,1.0,6123515.0,ANSHI CONSTRUCTION,INR,"5,824,773",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida,2026_UPPRC_1142784_1,11/PCL/GM/Zone-6/Noida/2026-27 DT 25.04.2026,"Construction work of Drinking Water Facility, Toilet Block, 02 Nos. Additional Class Room and Library at Govt. High School Peeplikheda in District Meerut",08-Jun-2026,"INR 5,824,773",270.0,Karmendra Kumar Agrawal,12-Jun-2026 01:20 PM,PeeP.pdf (552.00 KB),"Rs. 68,73,232.00 including GST",AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6123515,ANSHI CONSTRUCTION,20-May-2026 12:49 PM,Accepted-AOC,First Lowest,12-Jun-2026 01:20 PM,,,,,,,,,,,,,,,,,AOC
