S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage
1.0,6111112.0,M/S DIVYANSHI CONSTRUCTION,12-May-2026 05:11 PM,Rejected-AOC,L2,02-Jun-2026 03:53 PM,1.0,6110461.0,M/S NEW TECH ENTERPERISES,INR,"1,877,535.33",Directorate of Local Bodies UP||Nagar Panchayat Jahagirganj Ambedkar Nagar,2026_DOLBU_1140292_1,36/NPJ/E Tender2026-27 DATE-21/04/2026,Nagar Panchayat Jahangeerganj Ward no.11 me vishwanathpur me dr. B.R. Ambedkar ji park ke interlocking and boundarywall ka nirman karya.,02-Jun-2026,"INR 1,877,535.33",90.0,Umesh Kumar Pasi,02-Jun-2026 03:53 PM,karyadesh11drbr.pdf (387.00 KB),BOQ,Umesh kumar Pasi (EO),Internal,Akbal Bahadur Patel (JE) Sayyed Amanullah (Clerk),Umesh Kumar Pasi,29-May-2026 04:21 PM,29-May-2026 04:30 PM,techsummary_2129390.pdf (267.31 KB),Finance,As Per Bid Opening Summary,Umesh Kumar Pasi,02-Jun-2026 03:45 PM,finance_2129390.pdf,BOQ Comparative Chart,Umesh kumar Pasi (EO),Internal,Akbal Bahadur Patel (JE) Sayyed Amanullah (Clerk),Umesh Kumar Pasi,02-Jun-2026 03:50 PM,finsummary_2129390.pdf (280.47 KB),Technical,As Per Bid Opening Summary,Umesh Kumar Pasi,29-May-2026 04:18 PM,technical_2129390.pdf,AOC,Nagar Panchayat Jahangeerganj Ward no.11 me vishwanathpur me dr. B.R. Ambedkar ji park ke interlocking and boundarywall ka nirman karya.,Nagar Panchayat Jahangeerganj Ward no.11 me vishwanathpur me dr. B.R. Ambedkar ji park ke interlocking and boundarywall ka nirman karya.,Please refer Tender documents. ,NA ,"18,79,414",Construction Works,NA ,Tender,90.0,NA ,Work,224147.0,NA ,NA ,NA ,Office Nagar Panchayat Jahangirganj,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Jahagirganj Ambedkar Nagar,36/NPJ/E Tender2026-27 DATE-21/04/2026,2026_DOLBU_1140292_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,"1,87,900",Yes,fixed,,Executive Officer Nagar Panchayat Jahangirganj,Jahangirganj,22-Apr-2026 05:00 PM,14-May-2026 02:00 PM,22-Apr-2026 05:00 PM,13-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 05:00 PM,13-May-2026 12:00 PM,29-May-2026 04:30 PM,Executive Officer N P Jahangirganj,Office Nagar Panchayat Jahangirganj Ambedkar Nagar,1.0,Fee/PreQual/Technical,.pdf,Fees Dacument,1.0,Tender Notice Correction,Financial Bid,,"2,616",Executive Officer Nagar Panchayat Jahangirganj,Jahangirganj,No,1,DD - Demand Draft,AOC
2.0,6110461.0,M/S NEW TECH ENTERPERISES,12-May-2026 02:05 PM,Accepted-AOC,L1,02-Jun-2026 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Dacument,2.0,Tender Notice Correction,Technical Bid,,,,,,2,BC - Bankers Cheque,AOC
3.0,6110955.0,Sarishka Enterprises,12-May-2026 04:22 PM,Rejected-Technical,Dacument not ok,29-May-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RTGS - RTGS Payment,AOC
