Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,639(PAINTING)/NNA/2026-27,2026_DOLBU_1149620_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,26-May-2026 05:00 PM,03-Jun-2026 11:00 AM,26-May-2026 05:00 PM,02-Jun-2026 05:00 PM,NA ,NA ,26-May-2026 05:00 PM,02-Jun-2026 05:00 PM,06-Jul-2026 05:36 PM,"2,360",Nil,Nil,No,CE,NAGAR NIGAM ALIGARH,"5,00,000",No,fixed,,Nil,Nil,1.0,SBI Bank,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,730.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,AOC,ce,Internal,ee,Rajvir Singh,06-Jun-2026 01:31 PM,06-Jun-2026 01:35 PM,techsummary_2160373.pdf (207.36 KB),Finance,ok,Danish Haider Naqvi,29-Jun-2026 06:13 PM,,BOQ Comparative Chart,ce,Internal,ee,Danish Haider Naqvi,29-Jun-2026 06:17 PM,finsummary_2160373.pdf (310.11 KB),Technical,all documents complete,Rajvir Singh,06-Jun-2026 01:29 PM,technical_2160373.pdf,1,6154678,M/S AMIT TRADERS,30-May-2026 03:08 PM,Accepted-AOC,ok,30-Jun-2026 01:07 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1149620_2,639(PAINTING)/NNA/2026-27,NIRMAN WORK,1.0,6154678.0,M/S AMIT TRADERS,INR,276.0,30-Jun-2026,INR 276,730.0,Rajvir Singh,30-Jun-2026 01:07 PM,01synthatik.pdf (329.00 KB),ok,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6156762,Santosh Kumar Sharma,31-May-2026 05:45 PM,Rejected-Finance,ok,29-Jun-2026 06:17 PM,,,,,,,,,,,,,,,,,AOC
