Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Asphalt road construction from Reharia Damar Road to Brajmohan motor pump in Badripur Hadira village (Development Block Puwayan).,Asphalt road construction from Reharia Damar Road to Brajmohan motor pump in Badripur Hadira village (Development Block Puwayan).,Please refer Tender documents. ,NA ,"54,94,000",Civil Works - Roads,NA ,Tender,90.0,120.0,PUWAYA SHAHJAHANPUR,242401.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_37,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,13-May-2026 02:00 PM,28-May-2026 04:00 PM,13-May-2026 02:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 02:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,"1,10,000",No,fixed,,Nil,Nil,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,AOC,1,6144417,Mahadev Construction,27-May-2026 05:37 PM,Rejected-Finance,due to higher rate,26-Jun-2026 06:08 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_37,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,Asphalt road construction from Reharia Damar Road to Brajmohan motor pump in Badripur Hadira village (Development Block Puwayan).,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 06:08 PM,finsummary_2148549.pdf (1298.77 KB),Finance,financial bid open,RAJESH KUMAR,26-Jun-2026 06:05 PM,finance_2148549.pdf,BOQ Comparative Chart,1.0,6141927.0,M/S SHRI SHIV ENTERPRISES,INR,"6,447,776",Technical,bid open,RAJESH KUMAR,10-Jun-2026 02:01 PM,technical_2148549.pdf,27-Jun-2026,"INR 6,447,776",120.0,RAJESH KUMAR,27-Jun-2026 06:01 PM,37.pdf (330.00 KB),AOC OF THE WORK - Asphalt road construction from Reharia Damar Road to Brajmohan motor pump in Badripur Hadira village (Development Block Puwayan).,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 02:03 PM,16-Jun-2026 12:30 PM,techsummary_2148549.pdf (718.75 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,6141927,M/S SHRI SHIV ENTERPRISES,26-May-2026 03:01 AM,Accepted-AOC,DUE TO LOWER RATE,27-Jun-2026 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
