Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
CE,Internal,,narendra kumar chaudhary,15-May-2026 01:24 PM,18-May-2026 12:00 PM,techsummary_2121828.pdf (608.73 KB),03-Jun-2026,"INR 6,762,263",60.0,narendra kumar chaudhary,03-Jun-2026 01:22 PM,16116.pdf (366.00 KB),Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 04:56 PM,,ce,Internal,,narendra kumar chaudhary,03-Jun-2026 01:19 PM,finsummary_2121828.pdf (366.49 KB),Finance,Finance,narendra kumar chaudhary,18-May-2026 01:47 PM,,BOQ Comparative Chart,1.0,6069550.0,Raghuvanshi buildtech,INR,"6,762,263",1,6077504,M/S BHAGWATI CONTRACTOR,29-Apr-2026 01:35 PM,Rejected-Technical,all requried not complete,15-May-2026 01:24 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_16,116/Nirman/2026-27 Date 04.04.2026,Construction of drain and CC road on the remaining part of the approach road to the dumping ground in Nidori village.,AOC,CE,Ghaziabad Nagar Nigam,"5,632",Nil,Nil,No,"2,38,668",No,percentage,3.0%,Nil,Nil,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,18-May-2026 12:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Construction of drain and CC road on the remaining part of the approach road to the dumping ground in Nidori village.,Construction of drain and CC road on the remaining part of the approach road to the dumping ground in Nidori village.,Please refer Tender documents. ,NA ,"79,55,604",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6077851,M/s kamlesh engineering,29-Apr-2026 03:58 PM,Rejected-Finance,L2,03-Jun-2026 01:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6079226,M/S MAA PADMAWATI CONSTRUCTION,29-Apr-2026 11:12 PM,Rejected-Technical,all requried not complete,15-May-2026 01:24 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6080069,M/S MAHESH CHAND CONTRACTORS,30-Apr-2026 12:27 PM,Rejected-Finance,L2,03-Jun-2026 01:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6072318,M/S NORTH INDIA DEVELOPERS,29-Apr-2026 05:50 PM,Rejected-Finance,L2,03-Jun-2026 01:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6062358,M/S VIKAS CONSTRUCTION CO,28-Apr-2026 10:47 PM,Rejected-Technical,all requried not complete,15-May-2026 01:24 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6056194,PRAMOD KUMAR SINGHAL,29-Apr-2026 06:18 PM,Rejected-Finance,L2,03-Jun-2026 01:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6069550,Raghuvanshi buildtech,30-Apr-2026 10:01 AM,Accepted-AOC,L1,03-Jun-2026 01:22 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6080150,R B S CONSTRUCTION COMPANY,30-Apr-2026 12:39 PM,Rejected-Finance,L2,03-Jun-2026 01:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6078145,SIDDHARTH CONSTRUCTION,30-Apr-2026 11:21 AM,Rejected-Technical,all requried not complete,15-May-2026 01:24 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
