S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,"42,000",Yes,fixed,,Nil,Nil,23-Apr-2026 10:00 AM,28-Apr-2026 12:30 PM,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,NA ,NA ,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,11-May-2026 12:00 PM,Executive Engineer,EE red saharanpur vikas bhawan delhi road saharanpur,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,1617/RED/cashier/25-26 dt 20-03-2026,2026_REDUP_1139817_56,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikash khand nagal ke Gram khajoorwala me shiv mandir se peer ki or c c road v nail nirmaan karya,Vikash khand nagal ke Gram khajoorwala me shiv mandir se peer ki or c c road v nail nirmaan karya,Vikash khand nagal ke Gram khajoorwala me shiv mandir se peer ki or c c road v nail nirmaan karya ,NA ,"21,00,000",Civil Works,NA ,Tender,90.0,90.0,EE red saharanpur,247001.0,EE red saharanpur vikas bhawan delhi road saharanp ,EE red saharanpur vikas bhawan delhi road saharanpur ,25-Apr-2026 12:00 PM ,EE red saharanpur vikas bhawan delhi road saharanp,No ,No,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical document,AOC,1.0,6070855.0,Manoj Kumar Contractor,26-Apr-2026 11:17 PM,Rejected-Finance,L2,01-Jun-2026 07:43 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1139817_56,1617/RED/cashier/25-26 dt 20-03-2026,Vikash khand nagal ke Gram khajoorwala me shiv mandir se peer ki or c c road v nail nirmaan karya,1.0,6069222.0,M/S AFZAL AHMAD CONTRACTOR,INR,"2,048,517",Ravi,Internal,Pavan kumar rajendra kumar Assistant Engineer,Rajendra Kumar,01-Jun-2026 07:43 PM,finsummary_2130053.pdf (98.11 KB),Finance,ok,Rajendra Kumar,01-Jun-2026 07:40 PM,,BOQ Comparative Chart,Technical,ok,SANDEEP KUMAR AGARWAL,07-May-2026 03:15 PM,,01-Jun-2026,"INR 2,048,517",90.0,Rajendra Kumar,01-Jun-2026 07:48 PM,dd.pdf (98.00 KB),ok,Ravi,Internal,rajender kuamar pavan kumar,SANDEEP KUMAR AGARWAL,07-May-2026 05:11 PM,11-May-2026 12:00 PM,techsummary_2130053.pdf (98.16 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,fess end emd,AOC,2.0,6069222.0,M/S AFZAL AHMAD CONTRACTOR,26-Apr-2026 12:30 PM,Accepted-AOC,ok,01-Jun-2026 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
