Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
29-May-2026,"INR 3,808,368.09",45.0,OM PRAKASH VERMA,12-Jun-2026 01:57 PM,AocCityjaildrain.pdf (352.00 KB),Detail letter attached,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",2026_UPIDC_1140486_3,06/SE-6/2026-27,City jail Drain ke km 0.000 se km 24.000 tk silt safai ka karya,1.0,6075401.0,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,INR,"3,808,368.09",1,6079170,ARUN CONSTRUCTION,30-Apr-2026 12:44 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,Technical,Technical Result Attached,OM PRAKASH VERMA,13-May-2026 04:10 PM,technical_2129856.pdf,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE EE UDSC,OM PRAKASH VERMA,19-May-2026 04:43 PM,finsummary_2129856.pdf (328.23 KB),Finance,FINANCIAL SUMMARY ATTACHED,OM PRAKASH VERMA,16-May-2026 04:54 PM,finance_2129856.pdf,BOQ Comparative Chart,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE EE UDSC,OM PRAKASH VERMA,16-May-2026 03:45 PM,16-May-2026 04:00 PM,techsummary_2129856.pdf (537.97 KB),AOC,1.0,SBI Bank,23-Apr-2026 11:00 AM,30-Apr-2026 03:00 PM,23-Apr-2026 11:00 AM,30-Apr-2026 01:00 PM,NA ,NA ,23-Apr-2026 11:00 AM,30-Apr-2026 01:00 PM,16-May-2026 04:00 PM,"2,714",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",06/SE-6/2026-27,2026_UPIDC_1140486_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,66,000",No,percentage,2.0%,Nil,Nil,City jail Drain ke km 0.000 se km 24.000 tk silt safai ka karya,City jail Drain ke km 0.000 se km 24.000 tk silt safai ka karya,please refer tender document ,NA ,"83,00,000",Civil Works,NA ,Tender,90.0,45.0,unnao,209801.0,SE Six circle lucknow ,SE Six circle lucknow ,24-Apr-2026 01:00 PM ,SE SIX CIRCLE LUCKNOW,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,SE Six circle lucknow,SE Six circle lucknow,AOC
,,,,,,,,,,,,,,,,2,6079940,LEELAWATI CONTRACTS PRIVATE LIMITED,30-Apr-2026 11:58 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,3,6080251,Ms A S Construction,30-Apr-2026 12:54 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6077647,M/S JAGDISH CONSTRUCTION AND SUPPLIERS,30-Apr-2026 12:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-May-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6075401,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,30-Apr-2026 10:43 AM,Accepted-AOC,technically qualfied and quoted lowest amount,12-Jun-2026 01:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6077985,M/S OBELION CONSTRUCTIONS,29-Apr-2026 09:44 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6078615,M/S SATYENDRA KUMAR SINGH,30-Apr-2026 09:03 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,6079059,M/S SRI RAJ BAHADUR SINGH,30-Apr-2026 09:18 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,6078976,singh iron industries,30-Apr-2026 12:44 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-May-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,6079861,sri durga shakti traders,30-Apr-2026 11:16 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,19-May-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
