Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Const of RCC Cross in ghau kheda Near house of Anish Yadav kali mata Mandir and house of Bitto in Ward-11 Under zone-2.,Const of RCC Cross in ghau kheda Near house of Anish Yadav kali mata Mandir and house of Bitto in Ward-11 Under zone-2.,Please refer Tender documents. ,NA ,"1,95,557",Civil Works,NA ,Tender,45.0,NA ,Zone 02,208011.0,NA ,NA ,NA ,Motijheel Kanpur,No ,No,"1,180",Nil,Nil,No,"Kanpur Municipal Corporation, Kanpur, UP",1334/AA-2/25-26,2026_NNKAN_1119155_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,Chief Engineer KMC,Motijheel,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,1.0,Date Extended,Date,,23-Feb-2026 09:00 AM,28-Feb-2026 04:00 PM,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,"19,556",No,percentage,10.0%,Nil,Nil,AOC,CE,Internal,,DIVAKAR BHASKAR,07-Apr-2026 01:58 PM,techsummary_2080573.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,07-Apr-2026 02:01 PM,finsummary_2080573.pdf (194.18 KB),Finance,M/S Keshav Construction,DIVAKAR BHASKAR,07-Apr-2026 01:46 PM,,BOQ Comparative Chart,1,5923353,Avani Constructions,25-Feb-2026 12:06 PM,Rejected-Finance,L2,07-Apr-2026 02:01 PM,1.0,5923486.0,M/S Keshav Construction,INR,"164,567","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1119155_1,1334/AA-2/25-26,Const of RCC Cross in ghau kheda Near house of Anish Yadav kali mata Mandir and house of Bitto in Ward-11 Under zone-2.,22-Jun-2026,"INR 164,567",30.0,DIVAKAR BHASKAR,29-Jun-2026 03:56 PM,1119155keshavCostruction.pdf (719.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,5923486,M/S Keshav Construction,24-Feb-2026 12:19 PM,Accepted-AOC,aoc,29-Jun-2026 03:56 PM,,,,,,,,,,,,,,,,AOC
