Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE,Ghaziabad Nagar Nigam,"1,416",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,1.0,SBI Bank,25-Feb-2026 02:00 PM,03-Mar-2026 03:30 PM,25-Feb-2026 02:00 PM,03-Mar-2026 03:00 PM,NA ,NA ,25-Feb-2026 02:00 PM,03-Mar-2026 03:00 PM,16-Apr-2026 02:00 PM,"53,839",No,percentage,3.0%,Nil,Nil,"Construction of CCC road and drain in front of Gauri Shankar Temple in Ward-69 Lohia Nagar from M.No. 128, 218 to Naresh Dairy Wala.","Construction of CCC road and drain in front of Gauri Shankar Temple in Ward-69 Lohia Nagar from M.No. 128, 218 to Naresh Dairy Wala.",Please refer Tender documents. ,NA ,"17,94,634",Civil Works,NA ,Tender,90.0,NA ,CE,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,110/Nirman/2025-26 Date 21.02.2026,2026_DOLBU_1119907_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,ce,Internal,,Kuldeep Kumar Tamar,15-Jun-2026 01:49 PM,finsummary_2083034.pdf (569.40 KB),Finance,Finance,narendra kumar chaudhary,16-Apr-2026 03:47 PM,,BOQ Comparative Chart,1.0,5941734.0,MODERN CONSTRUCTION COMPANY,INR,"1,525,439",Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1119907_23,110/Nirman/2025-26 Date 21.02.2026,"Construction of CCC road and drain in front of Gauri Shankar Temple in Ward-69 Lohia Nagar from M.No. 128, 218 to Naresh Dairy Wala.",1,5941741,A.S Constructions,02-Mar-2026 05:52 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,15-Jun-2026,"INR 1,525,439",60.0,Kuldeep Kumar Tamar,15-Jun-2026 01:53 PM,23110.pdf (569.00 KB),Technical,Technical,narendra kumar chaudhary,06-Mar-2026 05:26 PM,,CE,Internal,,narendra kumar chaudhary,16-Apr-2026 11:00 AM,16-Apr-2026 02:00 PM,techsummary_2083034.pdf (3029.04 KB),AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5941734,MODERN CONSTRUCTION COMPANY,28-Feb-2026 07:08 PM,Accepted-AOC,L1,15-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5941671,M/S BRIGHT SANITARY STORE,28-Feb-2026 07:26 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5945380,MS BUILDWELL,03-Mar-2026 11:44 AM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5943534,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,02-Mar-2026 04:50 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,5941849,M/S CHOUDHARY ASSOCIATES,01-Mar-2026 07:39 AM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,5937607,M/S RAHUL BUILDERS,28-Feb-2026 02:57 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,5944637,M/S SHEKHAR CONSTRUCTION,02-Mar-2026 06:01 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,5944670,N.K. CONSTRUCTIONS,03-Mar-2026 01:53 PM,Rejected-Finance,L2,15-Jun-2026 01:49 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,5940141,Pranava Infratech,01-Mar-2026 10:32 PM,Rejected-Technical,all requried not complete,16-Apr-2026 11:00 AM,,,,,,,,,,,,,,,,,,,AOC
