Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
17-Jun-2026,"INR 985,538.5",30.0,Danish Haider Naqvi,17-Jun-2026 05:45 PM,cammetti.pdf (193.00 KB),ok,1,6072672,M/S HAJRA ASSOCIATES,28-Apr-2026 02:42 PM,Accepted-AOC,ok,17-Jun-2026 05:45 PM,Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1138383_1,172(08)/NNA/2026-27,ROAD NALI,1.0,6072672.0,M/S HAJRA ASSOCIATES,INR,"985,538.5",Finance,ok,Rajesh Kumar,01-Jun-2026 04:05 PM,,BOQ Comparative Chart,CE,Internal,EE,Rajvir Singh,25-May-2026 04:53 PM,25-May-2026 04:55 PM,techsummary_2125535.pdf (193.38 KB),Technical,ok,Rajesh Kumar,25-May-2026 02:17 PM,technical_2125535.pdf,CE,Internal,EE,Rajvir Singh,01-Jun-2026 04:37 PM,finsummary_2125535.pdf (193.38 KB),AOC,1.0,SBI Bank,"99,000",No,fixed,,Nil,Nil,ROAD NALI,ROAD NALI,Please refer Tender documents. ,NA ,"9,89,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,ALIGARH,No ,No,"1,180",Nil,Nil,No,Directorate of Local Bodies UP||Aligarh Municipal Corporation,172(08)/NNA/2026-27,2026_DOLBU_1138383_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CE,ALIGARH,20-Apr-2026 05:00 PM,29-Apr-2026 11:00 AM,20-Apr-2026 05:00 PM,28-Apr-2026 05:00 PM,NA ,NA ,20-Apr-2026 05:00 PM,28-Apr-2026 05:00 PM,25-May-2026 04:55 PM,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,2,6072685,M/S UNISUM CONSTRUCTION,28-Apr-2026 03:01 PM,Rejected-Finance,OK,01-Jun-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,3,6072700,Rana Construction,28-Apr-2026 02:50 PM,Rejected-Finance,OK,01-Jun-2026 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
