Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1146099_1,15/AA-2/26-27,Improvement of Lane by I/L Tiles From Soni Jewellers To Ganesh Chauraha and Rajesh Kumar To Bablu Khotedar in KDA Colony Rampuram Daheli Sujanpur ward-47 Zone02,1.0,6126625.0,PRADHI ENTERPRISES,INR,"1,439,167",1,6127419,Amit Enterprise,19-May-2026 02:39 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,06-Jun-2026,"INR 1,439,167",60.0,DIVAKAR BHASKAR,20-Jun-2026 07:50 PM,1146099pradhi.pdf (307.00 KB),AOC,Finance,in lottery,DIVAKAR BHASKAR,20-May-2026 06:27 PM,,BOQ Comparative Chart,CE,Internal,,DIVAKAR BHASKAR,01-Jun-2026 12:31 PM,finsummary_2143028.pdf (699.35 KB),CE,Internal,,DIVAKAR BHASKAR,01-Jun-2026 12:26 PM,techsummary_2143028.pdf (194.18 KB),AOC,"1,180",Nil,Nil,No,1.0,SBI Bank,07-May-2026 11:00 AM,20-May-2026 04:00 PM,07-May-2026 11:00 AM,20-May-2026 03:00 PM,NA ,NA ,07-May-2026 11:00 AM,20-May-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,"CHIEF ENGINEER, KMC",MOtijheel,"Kanpur Municipal Corporation, Kanpur, UP",15/AA-2/26-27,2026_NNKAN_1146099_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,Improvement of Lane by I/L Tiles From Soni Jewellers To Ganesh Chauraha and Rajesh Kumar To Bablu Khotedar in KDA Colony Rampuram Daheli Sujanpur ward-47 Zone02,Improvement of Lane by I/L Tiles From Soni Jewellers To Ganesh Chauraha and Rajesh Kumar To Bablu Khotedar in KDA Colony Rampuram Daheli Sujanpur ward-47 Zone02,Please refer Tender documents. ,NA ,"19,97,903",Civil Works,NA ,Tender,90.0,60.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,"1,99,790",No,percentage,10.0%,Nil,Nil,AOC
,,,,,,,,,2,6130910,ANUSHKA ENTERPRISES,20-May-2026 01:13 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6127799,Dilip Kumar Bajpai,19-May-2026 02:07 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6128289,GARVITA ASSOCIATES,19-May-2026 04:19 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6104955,MAHADEV DEVELOPERS,12-May-2026 12:04 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6129512,M/S Ayush enterprises,19-May-2026 09:49 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,6129731,m/s Bajrang enterprises,20-May-2026 01:56 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,6107325,M/s GANESH & COMPANY,11-May-2026 05:58 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,6120048,M/S Keshav Construction,16-May-2026 12:28 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,6129777,M/s Krishna Builder,19-May-2026 11:57 PM,Rejected-Finance,L1,01-Jun-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
