Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
04-Jun-2026,"INR 637,391",30.0,RAJESH KUMAR,04-Jun-2026 10:50 AM,653.pdf (621.00 KB),Work order,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1131239_1,653/A.A.3/25-26,Imp. Of Interlocking Road cross and nali from Sector A in H.No 704 to plot H.No 688 in Ward 77 Zone 03,1.0,6019922.0,M/S Maa Bhagwati construction and supllier,INR,"637,391",1,6022035,K.P. ENTERPRISES,30-Mar-2026 02:47 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",04-May-2026 05:20 PM,Finance,Tender Open,MEENAKSHI AGARWAL,15-Apr-2026 05:50 PM,finance_2110562.pdf,BOQ Comparative Chart,C.E.,Internal,,RAJESH KUMAR,04-May-2026 05:20 PM,finsummary_2110562.pdf (728.47 KB),C.E.,Internal,,RAJESH KUMAR,04-May-2026 05:17 PM,techsummary_2110562.pdf (728.47 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,28-Mar-2026 06:00 PM,30-Mar-2026 04:00 PM,28-Mar-2026 06:00 PM,30-Mar-2026 03:00 PM,NA ,NA ,28-Mar-2026 06:00 PM,30-Mar-2026 03:00 PM,C.E.3,Zone 3,Imp. Of Interlocking Road cross and nali from Sector A in H.No 704 to plot H.No 688 in Ward 77 Zone 03,Imp. Of Interlocking Road cross and nali from Sector A in H.No 704 to plot H.No 688 in Ward 77 Zone 03,Please refer Tender documents. ,NA ,"7,49,872",Civil Works,NA ,Tender,45.0,NA ,Imp. Of Interlocking Road cross and nali from Sec,208040.0,NA ,NA ,NA ,C.E.3,No ,No,"Kanpur Municipal Corporation, Kanpur, UP",653/A.A.3/25-26,2026_NNKAN_1131239_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,1.0,SBI Bank,"74,987",No,percentage,10.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,6019947,MISHRA CONSTRUCTION,29-Mar-2026 10:39 PM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",04-May-2026 05:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6019922,M/S Maa Bhagwati construction and supllier,29-Mar-2026 11:19 PM,Accepted-AOC,L1,04-Jun-2026 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6021274,M/S MAA KALISHANKER ENTERPRISES,30-Mar-2026 11:05 AM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",04-May-2026 05:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6021230,VIBHU ENTERPRISES,30-Mar-2026 10:53 AM,Rejected-Finance,"Due to similar rate quote lottery is done. Bid is not selected in lottery. Hence, Not Accepted As per Second Lowest.",04-May-2026 05:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
