Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,93/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,2026_SCIDC_1145222_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","1,00,000",No,fixed,,EE UPSCIDCO,Pilibhit,1.0,RTGS - RTGS Payment,1.0,Fee,.pdf,Tender Fee and EMD,1.0,Date Extension,Date,,"Construction of Community Center at Vill.-Kareli, Block-Bilsanda, Distt. Pilibhit","Construction of Community Center at Vill.-Kareli, Block-Bilsanda, Distt. Pilibhit","Construction of Community Center at Vill.-Kareli, Block-Bilsanda, Distt. Pilibhit ",NA ,"49,99,177",Civil Works - Buildings,"Const. of Community Center at Vill.-Kareli, PBT ",Tender,90.0,183.0,Pilibhit,262001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,04-May-2026 06:55 PM,14-May-2026 12:00 PM,04-May-2026 06:55 PM,14-May-2026 11:00 AM,NA ,NA ,04-May-2026 06:55 PM,14-May-2026 11:00 AM,03-Jun-2026 05:25 PM,"1,652",EE UPSCIDCO,Pilibhit,No,AOC,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,08-Jun-2026 02:25 PM,finsummary_2140580.pdf (747.70 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,03-Jun-2026 05:13 PM,technical_2140580.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,03-Jun-2026 05:21 PM,03-Jun-2026 05:25 PM,techsummary_2140580.pdf (84.66 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,08-Jun-2026 01:57 PM,finance_2140580.pdf,BOQ Comparative Chart,1,6114588,Ismaile Khan Contractor,14-May-2026 01:24 AM,Rejected-AOC,IInd Lowest Rate,08-Jun-2026 06:02 PM,1.0,6108240.0,M/s Bagesh And Sons,INR,"4,978,680.37",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1145222_1,93/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,"Construction of Community Center at Vill.-Kareli, Block-Bilsanda, Distt. Pilibhit",08-Jun-2026,"INR 4,978,680.37",183.0,Charan Singh Arya,08-Jun-2026 06:01 PM,LOI93.pdf (931.00 KB),Total Contract Value Rs. 4978680.37,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Tender Notice and BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6108240,M/s Bagesh And Sons,14-May-2026 12:29 AM,Accepted-AOC,Ist Lowest Rate,08-Jun-2026 06:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6109519,Ramvati Contractor,12-May-2026 11:17 AM,Rejected-Technical,"Disqualified, Not fulfil as par NIT Condition",03-Jun-2026 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6107810,SARTHAK CONTRACTOR,12-May-2026 10:46 PM,Not Admitted-Fee,Others-Request made to cancel the technical bid,27-May-2026 02:56 PM,,,,,,,,,,,,,,,,,AOC
