Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bids received,Aniruddh Kumar Yadav,07-May-2026 09:48 AM,,01-Jun-2026,"INR 1,148,850",90.0,Aniruddh Kumar Yadav,01-Jun-2026 05:16 PM,Amauli.pdf (484.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,07-May-2026 09:51 AM,13-May-2026 11:00 AM,techsummary_2125893.pdf (540.88 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_13,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Chakia ke Gram Panchayat Amauli me Babunandan ke ghar se Fauzdar Singh ke khet tak naali v CC road ka nirman karya.,1,6085594,M/S SHARDA ENGINEERING AND SUPPLY COMPANY,03-May-2026 07:12 PM,Accepted-AOC,1st Lowest,01-Jun-2026 05:16 PM,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chanduali,Aniruddh Kumar Yadav,18-May-2026 06:22 PM,finsummary_2125893.pdf (629.03 KB),Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 05:04 PM,,BOQ Comparative Chart,1.0,6085594.0,M/S SHARDA ENGINEERING AND SUPPLY COMPANY,INR,"1,148,850",AOC,Vikas Khand Chakia ke Gram Panchayat Amauli me Babunandan ke ghar se Fauzdar Singh ke khet tak naali v CC road ka nirman karya.,Vikas Khand Chakia ke Gram Panchayat Amauli me Babunandan ke ghar se Fauzdar Singh ke khet tak naali v CC road ka nirman karya.,Please refer Tender documents. ,NA ,"11,50,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chakia,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,18-Apr-2026 11:00 AM,04-May-2026 12:30 PM,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,NA ,NA ,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,13-May-2026 11:00 AM,"23,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Chandauli,EE RED Chandauli,"1,016",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6085631,SHARDA CONSTRUCTION AND SUPPLY WORKS,03-May-2026 07:28 PM,Rejected-Finance,2nd bidder,18-May-2026 06:22 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
