Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,"U.P. State Construction and Infrastructure Development Corporation Ltd, 169, Firoj Gandhi colony panchvati Bhavan ke samne Raebareli",11-Jun-2026 05:00 PM,17-Jun-2026 01:00 PM,11-Jun-2026 05:00 PM,17-Jun-2026 12:00 PM,NA ,NA ,11-Jun-2026 05:00 PM,17-Jun-2026 12:00 PM,17-Jun-2026 04:25 PM,"Vikaskhand Khero ke gram Jagannathpur majre semari Mein Devidas Kuti Mein sundarikaran V Boundary Wall, interlocking Nirman Karya (Vidhayak Nidhi work)","Vikaskhand Khero ke gram Jagannathpur majre semari Mein Devidas Kuti Mein sundarikaran V Boundary Wall, interlocking Nirman Karya (Vidhayak Nidhi work)","Vikaskhand Khero ke gram Jagannathpur majre semari Mein Devidas Kuti Mein sundarikaran V Boundary Wall, interlocking Nirman Karya (Vidhayak Nidhi work) ",NA ,,Civil Works,NA ,Tender,90.0,90.0,Raebareli,229001.0,NA ,NA ,NA ,"169, Feroz Gandhi Colony, Panchvati BhawaRaebareli",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Lucknow,108/E.E/Rbl/E-Ten/Nidhi/26-27,2026_SCIDC_1159697_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tedner fee, EMD and Document",1,DD - Demand Draft,"1,655",UPSCIDCOLTD,Raebareli,No,"20,000",No,fixed,,UPSCIDCOLTD,Raebareli,AOC,Finance,Attached,Girish Chandra Joshi,17-Jun-2026 05:02 PM,finance_2173340.pdf,BOQ Comparative Chart,Shri Babu Ram,Internal,Attached,Girish Chandra Joshi,17-Jun-2026 04:22 PM,17-Jun-2026 04:25 PM,techsummary_2173340.pdf (540.91 KB),Technical,Attached,Girish Chandra Joshi,17-Jun-2026 04:21 PM,,Shri Babu Ram,Internal,Attached,Girish Chandra Joshi,17-Jun-2026 05:04 PM,finsummary_2173340.pdf (484.90 KB),18-Jun-2026,"INR 1,018,879.31",90.0,Girish Chandra Joshi,23-Jun-2026 12:33 PM,Raebareli.pdf (5037.00 KB),Attached,1.0,6201199.0,BAISWARA CONSTRUCTION,16-Jun-2026 11:04 PM,Accepted-AOC,Lowest Rate Accepted,23-Jun-2026 12:32 PM,1.0,6201199.0,BAISWARA CONSTRUCTION,INR,"1,018,879.31",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Lucknow,2026_SCIDC_1159697_1,108/E.E/Rbl/E-Ten/Nidhi/26-27,"Vikaskhand Khero ke gram Jagannathpur majre semari Mein Devidas Kuti Mein sundarikaran V Boundary Wall, interlocking Nirman Karya (Vidhayak Nidhi work)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6201142.0,M/s. Aakash Enterprises,16-Jun-2026 10:35 PM,Rejected-Finance,Quoted Amount Rate in High,17-Jun-2026 05:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
