Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,2026_REDUP_1150423_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,714",Nil,Nil,No,"1,55,860",No,percentage,2.0%,Nil,Nil,"Under District Kushinagar, Construction of road from Samaur Padrauna road to old market Karmaini to Gram Sabha Jwar road, Lot No 6","Under District Kushinagar, Construction of road from Samaur Padrauna road to old market Karmaini to Gram Sabha Jwar road, Lot No 6",Please refer Tender documents. ,NA ,"77,93,000",Civil Works,NA ,Tender,90.0,NA ,Kushinagar,274403.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",22-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,19-May-2026 12:00 PM,29-May-2026 12:30 PM,19-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,19-May-2026 12:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:00 PM,AOC,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Surya Prakash EE RED Kushinagar, Er Surya Prakash EE RED Deoria, Mr Anop Kumar Rajpoot DAO RED Kushinagar",Dileep Shukla,11-Jun-2026 09:36 AM,16-Jun-2026 12:00 PM,techsummary_2154181.pdf (795.91 KB),Finance,Summary,Dileep Shukla,16-Jun-2026 01:43 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,25-Jun-2026 09:12 AM,finsummary_2154181.pdf (1122.11 KB),Technical,Summary,Dileep Shukla,29-May-2026 06:52 PM,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150423_6,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,"Under District Kushinagar, Construction of road from Samaur Padrauna road to old market Karmaini to Gram Sabha Jwar road, Lot No 6",1.0,6143817.0,M/s Bindu Devi,INR,"9,181,781.86",1,6143817,M/s Bindu Devi,27-May-2026 06:33 AM,Accepted-AOC,AoC,25-Jun-2026 10:03 AM,25-Jun-2026,"INR 9,181,781.86",180.0,Dileep Shukla,25-Jun-2026 10:03 AM,13_6.pdf (1122.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6145992,M/S SHRI OM SAI TRADERS,27-May-2026 07:54 PM,Rejected-Finance,Rejected,25-Jun-2026 09:12 AM,,,,,,,AOC
