Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
CE,Internal,,Kuldeep Kumar Tamar,07-May-2026 06:48 PM,07-May-2026 06:50 PM,techsummary_2121807.pdf (639.59 KB),Technical,Techncial,Kuldeep Kumar Tamar,30-Apr-2026 04:43 PM,,17-Jun-2026,"INR 155,798.37",3.0,Kuldeep Kumar Tamar,17-Jun-2026 11:56 AM,11116.pdf (633.00 KB),Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_11,116/Nirman/2026-27 Date 04.04.2026,Regarding fixation of rates of vending zones and queues at various places within the municipal limits.,1,6080596,A3R ENTERPRISE,30-Apr-2026 02:14 PM,Accepted-AOC,L1,17-Jun-2026 11:56 AM,Finance,Finance,Kuldeep Kumar Tamar,07-May-2026 07:05 PM,,BOQ Comparative Chart,CE,Internal,,Kuldeep Kumar Tamar,17-Jun-2026 11:52 AM,finsummary_2121807.pdf (632.69 KB),1.0,6080596.0,A3R ENTERPRISE,INR,"155,798.37",AOC,Regarding fixation of rates of vending zones and queues at various places within the municipal limits.,Regarding fixation of rates of vending zones and queues at various places within the municipal limits.,Please refer Tender documents. ,NA ,"1,63,998",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,CE,Ghaziabad Nagar Nigam,"4,920",No,percentage,3.0%,Nil,Nil,"1,416",Nil,Nil,No,1.0,SBI Bank,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,07-May-2026 06:50 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6075054,GARGSON INFRATECH PRIVATE LIMITED,28-Apr-2026 03:53 PM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,6077678,JP SHAKTI CONSTRUCTION,29-Apr-2026 08:27 PM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,6080064,KESH RAM CONSTRUCTIONS,30-Apr-2026 01:20 PM,Rejected-Technical,all requried complete,07-May-2026 06:48 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,6076888,MAHABIR CONSTRUCTIONS,29-Apr-2026 10:55 PM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,6077264,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,29-Apr-2026 09:33 PM,Rejected-Technical,all requried not complete,07-May-2026 06:48 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,6077646,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 09:10 AM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,6078406,M/S SHIV CONSTRUCTION,30-Apr-2026 02:43 PM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,6077228,PROSTYLES DESIGN LAB,29-Apr-2026 09:43 PM,Rejected-Technical,all requried not complete,07-May-2026 06:48 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,6077861,S S BUILDERS & CONTRACTOR,29-Apr-2026 11:09 PM,Rejected-Finance,L2,17-Jun-2026 11:52 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
