EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"7,435",No,fixed,,NP,PISAWA,"N.P. PISAWA, ALIGARH","N.P. PISAWA, ALIGARH",1.0,RTGS - RTGS Payment,Directorate of Local Bodies UP||Nagar Panchayat Pisawa Aligarh,101/NPG/2026-27,2026_DOLBU_1152406_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,23-May-2026 02:00 PM,02-Jun-2026 01:00 PM,23-May-2026 02:00 PM,01-Jun-2026 02:00 PM,NA ,NA ,23-May-2026 02:00 PM,01-Jun-2026 02:00 PM,03-Jun-2026 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,Reboring of India mark handpump in ward no. 1 near Chetan house.,Reboring of India mark handpump in ward no. 1 near Chetan house.,Please refer Tender documents. ,NA ,"74,351",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,30.0,30.0,Reboring of India mark handpump in ward no. 1 near,202155.0,NA ,NA ,NA ,"N.P. PISAWA, ALIGARH",No ,No,100.0,NP,PISAWA,No,AOC,EO,Internal,"JE, LIPIK",rishabh rathor,03-Jun-2026 03:16 PM,03-Jun-2026 03:20 PM,techsummary_2158829.pdf (68.24 KB),Finance,Finance Bid Admitted,Nishad Madhurmai,03-Jun-2026 03:46 PM,finance_2158829.pdf,BOQ Comparative Chart,EO,Internal,"JE, LIPIK",rishabh rathor,03-Jun-2026 04:59 PM,finsummary_2158829.pdf (68.24 KB),Technical,Technical Evaluation Sumitted,Nishad Madhurmai,03-Jun-2026 01:39 PM,technical_2158829.pdf,Directorate of Local Bodies UP||Nagar Panchayat Pisawa Aligarh,2026_DOLBU_1152406_3,101/NPG/2026-27,Reboring of India mark handpump in ward no. 1 near Chetan house.,1.0,6156915.0,M/S RK CONSTRUCTION AND BUILDER,INR,"71,808.2",1,6157109,GANGA SAHAI,31-May-2026 07:41 PM,Rejected-AOC,accepted,09-Jun-2026 10:24 AM,09-Jun-2026,"INR 71,808.2",30.0,rishabh rathor,09-Jun-2026 10:24 AM,L1_03.pdf (131.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6157189,M/S BALAJI ENTERPRISES,31-May-2026 08:33 PM,Rejected-AOC,accepted,09-Jun-2026 10:24 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6156915,M/S RK CONSTRUCTION AND BUILDER,31-May-2026 06:25 PM,Accepted-AOC,accepted,09-Jun-2026 10:24 AM,,,,,,,AOC
