S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,5929671.0,A.R ENTERPRISES,INR,"692,555","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1118182_1,336/A.A.3/25-26,Imp. Of R.C.C. Slab form Block No -12 in front to Sariya park in ward 38 Zone 03,1,5920710,ALKA RANI CHAUBEY,28-Feb-2026 08:55 AM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,25-Mar-2026 04:29 PM,04-Jun-2026,"INR 692,555",45.0,RAJESH KUMAR,04-Jun-2026 11:50 AM,336.pdf (631.00 KB),work order,Finance,Tender Open,RAJESH KUMAR,25-Mar-2026 04:29 PM,finance_2078237.pdf,BOQ Comparative Chart,C.E.,Internal,,RAJESH KUMAR,28-Apr-2026 04:26 PM,finsummary_2078237.pdf (217.08 KB),C.E.,Internal,,RAJESH KUMAR,28-Apr-2026 04:23 PM,techsummary_2078237.pdf (217.08 KB),AOC,"Kanpur Municipal Corporation, Kanpur, UP",336/A.A.3/25-26,2026_NNKAN_1118182_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,C.E.3,Zone 3,1.0,SBI Bank,"70,669",No,percentage,10.0%,Nil,Nil,Imp. Of R.C.C. Slab form Block No -12 in front to Sariya park in ward 38 Zone 03,Imp. Of R.C.C. Slab form Block No -12 in front to Sariya park in ward 38 Zone 03,Please refer Tender documents. ,NA ,"7,06,689",Civil Works,NA ,Tender,45.0,NA ,Imp. Of R.C.C. Slab form Block No -12 in front to,208040.0,NA ,NA ,NA ,C.E.3,No ,No,1.0,Date,Date,,"1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,19-Feb-2026 03:00 PM,28-Feb-2026 04:00 PM,19-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,19-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,AOC
,,,,,,,,,2,5929671,A.R ENTERPRISES,25-Feb-2026 03:12 PM,Accepted-AOC,L1,04-Jun-2026 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,,,AOC
,,,,,,,,,3,5938675,M/S ANOOP TRADERS,27-Feb-2026 05:39 PM,Rejected-Finance,L2,28-Apr-2026 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5929456,M/S SUSHMA ENTERPRISES,25-Feb-2026 02:27 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,25-Mar-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5934995,NAVYA CONSTRUCTION,26-Feb-2026 09:31 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,25-Mar-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
