Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,1652/RED/Account/Tender No/25-26 Dt 09.03.2026,2026_REDUP_1133102_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,04-Apr-2026 11:00 AM,09-Apr-2026 12:30 PM,04-Apr-2026 11:00 AM,09-Apr-2026 12:00 PM,NA ,NA ,04-Apr-2026 11:00 AM,09-Apr-2026 12:00 PM,20-Apr-2026 03:00 PM,1.0,SBI Bank,Executive Engineer RED Auraiya,Office of the Executive Engineer RED Auraiya,"Repair work of the roofs of rooms No. 38 to No. 45 of the girls section of Shri Janata Inter College in Development Block Ajitmal, District Auraiya, and repair work of 2 rooms on the ground floor.","Repair work of the roofs of rooms No. 38 to No. 45 of the girls section of Shri Janata Inter College in Development Block Ajitmal, District Auraiya, and repair work of 2 rooms on the ground floor.",Please refer Tender documents. ,NA ,"10,53,000",Civil Works,NA ,Tender,90.0,90.0,Auraiya,206244.0,NA ,NA ,NA ,Office of the Executive Engineer RED Auraiya,No ,No,855.0,Nil,Nil,No,"21,100",No,fixed,,Nil,Nil,AOC,Shri Shiv Prakash Pandey EE,Internal,Shri Ashok Kumar AE and Shri Shourya Awasthi DAO,Shiv Prakash Pandey,18-Apr-2026 02:28 PM,20-Apr-2026 03:00 PM,techsummary_2115092.pdf (248.69 KB),Finance,Summary,Ashok Kumar,29-Apr-2026 01:22 PM,finance_2115092.pdf,BOQ Comparative Chart,Shri Shiv Prakash Pandey EE,Internal,Shri Ashok Kumar AE and Shri Shourya Awasthi DAO,Ashok Kumar,29-Apr-2026 01:26 PM,finsummary_2115092.pdf (358.58 KB),Technical,Summary,Shiv Prakash Pandey,18-Apr-2026 02:15 PM,technical_2115092.pdf,1,6037337,A.D. GROUP OF CONSTRUCTION,08-Apr-2026 07:48 PM,Accepted-AOC,L1,19-Jun-2026 01:28 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,2026_REDUP_1133102_1,1652/RED/Account/Tender No/25-26 Dt 09.03.2026,"Repair work of the roofs of rooms No. 38 to No. 45 of the girls section of Shri Janata Inter College in Development Block Ajitmal, District Auraiya, and repair work of 2 rooms on the ground floor.",1.0,6037337.0,A.D. GROUP OF CONSTRUCTION,INR,"1,051,144.78",11-May-2026,"INR 1,051,144.78",90.0,Shiv Prakash Pandey,19-Jun-2026 01:28 PM,38g5.pdf (529.00 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6037366,M/s KK Construction & Suppliers,08-Apr-2026 08:14 PM,Rejected-AOC,L2,19-Jun-2026 01:28 PM,,,,,,,,,,,,,,,,AOC
