Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Jal Nigam (HQ), Lucknow||Chief Engineer (E-M), Lucknow||SE, Elect Mech Circle, Kanpur Nagar||EE Elect Mech Unit Kanpur Nagar",1178/E-Tender/32 dated 01.06.26,2026_UPJNM_1156478_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,02-Jun-2026 03:30 PM,09-Jun-2026 01:00 PM,02-Jun-2026 03:30 PM,08-Jun-2026 05:00 PM,NA ,NA ,02-Jun-2026 03:30 PM,08-Jun-2026 05:00 PM,23-Jun-2026 04:00 PM,"3,540","E.E. CD E and M U.P. Jal Nigam, Urban, Varanasi",Varanasi,No,"30,000",No,fixed,,"E.E. CD E and M U.P. Jal Nigam, Urban, Varanasi",Varanasi,Operation and maintenance of 2 MW Solar Power plant Bhelupur Campus at Varanasi,Operation and maintenance of 2 MW Solar Power plant Bhelupur Campus at Varanasi,As per NIT and Tender Document  ,NA ,,Water Supply,Operation and maintenance  ,Rate Contract,120.0,183.0,Varanasi,221112.0,NA ,NA ,NA ,"E.E. CD E and M U.P. Jal Nigam, Urban, Varanasi",No ,No,Executive Engineer,"Executive Engineer Construction Division E and M U.P. Jal Nigam, Urban, Varanasi",1,BG - Bank Guarantee,AOC,P.K. Gupta,Internal,EE AE JET DA,Pawan Kumar Gupta,23-Jun-2026 02:03 PM,23-Jun-2026 04:00 PM,techsummary_2166956.pdf (9888.98 KB),Finance,Bid opening summary,Pawan Kumar Gupta,24-Jun-2026 12:26 PM,finance_2166956.pdf,BOQ Comparative Chart,P.K. Gupta,Internal,EE AE JET DA,Pawan Kumar Gupta,24-Jun-2026 12:29 PM,finsummary_2166956.pdf (10084.44 KB),Technical,Bid opening summary,Pawan Kumar Gupta,23-Jun-2026 01:55 PM,technical_2166956.pdf,1.0,6176076.0,M/S TURBO POWER,INR,"1,396,650","U P Jal Nigam (HQ), Lucknow||Chief Engineer (E-M), Lucknow||SE, Elect Mech Circle, Kanpur Nagar||EE Elect Mech Unit Kanpur Nagar",2026_UPJNM_1156478_1,1178/E-Tender/32 dated 01.06.26,Operation and maintenance of 2 MW Solar Power plant Bhelupur Campus at Varanasi,1,6176076,M/S TURBO POWER,07-Jun-2026 08:39 AM,Accepted-AOC,As per AOC,24-Jun-2026 03:33 PM,25-Jun-2026,"INR 1,396,650",183.0,Pawan Kumar Gupta,24-Jun-2026 03:33 PM,ACOSOLAR.pdf (5224.00 KB),As per AOC,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6179861,Pioneer Drilling Company Pvt. Ltd.,08-Jun-2026 04:34 PM,Rejected-Finance,As per Financial Evaluation,24-Jun-2026 12:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6179402,SWAJAL CONSTRUCTION,08-Jun-2026 04:23 PM,Rejected-Technical,As per Technical Evaluation,23-Jun-2026 02:03 PM,,,,,,,,AOC
