Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,31-May-2026 04:46 PM,05-Jun-2026 12:30 PM,techsummary_2147215.pdf (216.42 KB),Technical,Technical bid open,SHUBHAM PARLE,23-May-2026 05:46 PM,technical_2147215.pdf,30-Jun-2026,"INR 1,500,921.62",90.0,SHUBHAM PARLE,30-Jun-2026 04:08 PM,ABC.pdf (630.00 KB),Bond with Anuj Interlocking,1,6117802,ARUN CONSTRUCTIONS,16-May-2026 02:07 PM,Rejected-Finance,L2 Bidder,30-Jun-2026 04:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1147099_63,12/RED/Tavrit/26-27/dt-2-4-26,Gram sodutt mai muda ke makan se iqbal ke makan tak interlocking tile or nail nirman work,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,30-Jun-2026 04:00 PM,finsummary_2147215.pdf (381.85 KB),Finance,Finance,SHUBHAM PARLE,30-Jun-2026 03:06 PM,finance_2147215.pdf,BOQ Comparative Chart,1.0,6115548.0,M/S ANUJ INTERLOCKING,INR,"1,500,921.62",AOC,1.0,SBI Bank,Gram sodutt mai muda ke makan se iqbal ke makan tak interlocking tile or nail nirman work,Gram sodutt mai muda ke makan se iqbal ke makan tak interlocking tile or nail nirman work,Please refer Tender documents. ,NA ,"15,05,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,1,Fee/PreQual/Technical,.pdf,Document,EE RED MEERUT DIVISION,VIKAS BHAWAN 2ND FLOOR COLLECTORATE MEERUT,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,12/RED/Tavrit/26-27/dt-2-4-26,2026_REDUP_1147099_63,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"31,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,14-May-2026 10:00 AM,22-May-2026 12:30 PM,14-May-2026 10:00 AM,21-May-2026 12:00 PM,NA ,NA ,14-May-2026 10:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,2,6115548,M/S ANUJ INTERLOCKING,16-May-2026 03:25 PM,Accepted-AOC,Bond with Anuj M/s. Interlocing,30-Jun-2026 04:08 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
