Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"EO, Lipic, JE",Internal,,ranu maurya,09-Jun-2026 02:46 PM,09-Jun-2026 02:50 PM,techsummary_2151046.pdf (285.23 KB),Technical,ok,ranu maurya,08-Jun-2026 08:14 PM,technical_2151046.pdf,09-Jun-2026,"INR 876,448.246",90.0,ranu maurya,09-Jun-2026 04:40 PM,22boq.pdf (189.00 KB),Directorate of Local Bodies UP||Nagar Panchayat Ramganj Pratapgarh,2026_DOLBU_1148713_22,263/15/05/2026,Ward no.06 Srikrishnanagar me navnirmit CC se Rinku singh ke khet hote huye Raju Singh ke khet tak CC road nirman karya,1,6165120,IDEAL PLACEMENT,03-Jun-2026 03:33 PM,Rejected-Finance,L2,09-Jun-2026 04:26 PM,Finance,ok,ranu maurya,09-Jun-2026 04:16 PM,,BOQ Comparative Chart,"EO, Lipic, JE",Internal,,ranu maurya,09-Jun-2026 04:26 PM,finsummary_2151046.pdf (189.23 KB),1.0,6168408.0,ORGMACARE PRIVATE LIMITED,INR,"876,448.246",AOC,"88,000",No,fixed,,EO NP Ramganj,NP Ramganj Office,EO,Nagar Panchayat Ramganj Office,Ward no.06 Srikrishnanagar me navnirmit CC se Rinku singh ke khet hote huye Raju Singh ke khet tak CC road nirman karya,Ward no.06 Srikrishnanagar me navnirmit CC se Rinku singh ke khet hote huye Raju Singh ke khet tak CC road nirman karya,Please refer Tender documents. ,NA ,"8,76,535",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Ramganj,230139.0,NA ,NA ,NA ,Nagar Panchayat Ramganj Office,No ,No,1.0,FDR - Fixed Deposit,Directorate of Local Bodies UP||Nagar Panchayat Ramganj Pratapgarh,263/15/05/2026,2026_DOLBU_1148713_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Notice,16-May-2026 11:00 AM,05-Jun-2026 02:00 PM,16-May-2026 11:00 AM,05-Jun-2026 11:00 AM,NA ,NA ,16-May-2026 11:00 AM,05-Jun-2026 11:00 AM,09-Jun-2026 02:50 PM,"1,100",EO NP Ramganj,NP Ramganj Office,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6164031,KAILASH CONSTRUCTION SUPPLIER,03-Jun-2026 09:59 AM,Rejected-Finance,L3,09-Jun-2026 04:26 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,6168408,ORGMACARE PRIVATE LIMITED,04-Jun-2026 04:24 PM,Accepted-AOC,L1,09-Jun-2026 04:41 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
