Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,270/RED/TE/26-27dt-28.04.26,2026_REDUP_1150371_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,384",Nil,Nil,No,Er Narendra Chaudhary,,19-May-2026 09:00 AM,25-May-2026 12:30 PM,19-May-2026 09:00 AM,25-May-2026 12:00 PM,NA ,NA ,19-May-2026 09:00 AM,25-May-2026 12:00 PM,04-Jun-2026 12:00 PM,Gram Panchyat Daulatpur me Ramesh Singh ki Dukan se Hokar Kallu Godiya ke Darwaje se hote huwe Ram Sewak ke Darwaje tak CC Road k Nirman karye,Gram Panchyat Daulatpur me Ramesh Singh ki Dukan se Hokar Kallu Godiya ke Darwaje se hote huwe Ram Sewak ke Darwaje tak CC Road k Nirman karye,Plz Rrefer DOc ,NA ,"10,34,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,"21,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,AOC,Er Narendra Chaudhry,Internal,,Narendra chaudhary,20-Jun-2026 01:52 PM,finsummary_2153960.pdf (1165.52 KB),Technical,SUMMARY,Narendra chaudhary,04-Jun-2026 11:54 AM,technical_2153960.pdf,ER NARENDRA CHAUDHARY,Internal,,Narendra chaudhary,04-Jun-2026 11:57 AM,04-Jun-2026 12:00 PM,techsummary_2153960.pdf (499.39 KB),Finance,Summary,Narendra chaudhary,20-Jun-2026 01:44 PM,finance_2153960.pdf,BOQ Comparative Chart,1,6138475,M/S DIPTI KATIYAR,24-May-2026 10:25 AM,Accepted-AOC,l1,20-Jun-2026 01:55 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1150371_2,270/RED/TE/26-27dt-28.04.26,Gram Panchyat Daulatpur me Ramesh Singh ki Dukan se Hokar Kallu Godiya ke Darwaje se hote huwe Ram Sewak ke Darwaje tak CC Road k Nirman karye,1.0,6138475.0,M/S DIPTI KATIYAR,INR,"1,033,609.57",20-Jun-2026,"INR 1,033,609.57",90.0,Narendra chaudhary,20-Jun-2026 01:55 PM,Godiya0004.pdf (1166.00 KB),l1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6139328,M/S SUNIL KUNAR,25-May-2026 07:19 AM,Rejected-AOC,l2,20-Jun-2026 01:55 PM,,,,,,,,,,,,,,,,,AOC
