Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Greater Noida Industrial Development Authority,SM/(E-TENDER CELL)/2026/717 DATED-13.02.2026,2026_GNIDA_1116526_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Construction of Guard Room and Providing / Fixing Coil Fencing, Repairing of Boundary Wall of (Affordable House) in Sector XU-1, Greater Noida.","Construction of Guard Room and Providing / Fixing Coil Fencing, Repairing of Boundary Wall of (Affordable House) in Sector XU-1, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"8,96,119",Civil Works,DEVELOPMENT WORK ,Tender,90.0,90.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,17-Feb-2026 05:00 PM,05-Mar-2026 11:00 AM,17-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,17-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,29-Apr-2026 11:00 AM,840.0,Nil,Nil,No,SM_TENDER CELL,GNIDA OFFICE,1.0,SBI Bank,"18,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",AOC,GM_PROJECT,Internal,DGM_FINANCE SM_WC-5 SM_TECHNICAL,SUNNY YADAV,02-Jun-2026 04:44 PM,finsummary_2073816.pdf (212.41 KB),Technical,UNDER EVALUATION,SUNNY YADAV,05-Mar-2026 12:55 PM,,GM_PROJECT,Internal,DGM_FINANCE SM_WC-5 SM_TECHNICAL,SUNNY YADAV,28-Apr-2026 03:55 PM,29-Apr-2026 11:00 AM,techsummary_2073816.pdf (232.41 KB),Finance,UNDER EVALUATION,SUNNY YADAV,29-Apr-2026 01:22 PM,,BOQ Comparative Chart,1,5929220,ADARSH CONSTRUCTION,27-Feb-2026 04:04 PM,Rejected-Finance,L2,02-Jun-2026 04:44 PM,Greater Noida Industrial Development Authority,2026_GNIDA_1116526_1,SM/(E-TENDER CELL)/2026/717 DATED-13.02.2026,"Construction of Guard Room and Providing / Fixing Coil Fencing, Repairing of Boundary Wall of (Affordable House) in Sector XU-1, Greater Noida.",1.0,5902686.0,M/S WORLDHILL INFRASTRUCTURE,INR,"537,671.99",23-Jun-2026,"INR 537,671.99",90.0,SUNNY YADAV,23-Jun-2026 04:38 PM,20993.pdf (471.00 KB),AWARD LETTER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5928309,J.K.Defence Fire Engg. Services,27-Feb-2026 02:59 PM,Rejected-Finance,L7,02-Jun-2026 04:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5929407,JSG Builder,27-Feb-2026 01:23 PM,Rejected-Technical,DIS-QUALIFIED,28-Apr-2026 03:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5922335,KTS DEVELOPERS,26-Feb-2026 05:47 PM,Rejected-Technical,DIS-QUALIFIED,28-Apr-2026 03:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5925044,M/S CHAUDHARY & CHAUDHARY,27-Feb-2026 11:40 AM,Rejected-Finance,L6,02-Jun-2026 04:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5932717,M/S HARSH LABOUR CONTRACTOR & SUPPLIERS,27-Feb-2026 11:03 AM,Rejected-Finance,L4,02-Jun-2026 04:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5902686,M/S WORLDHILL INFRASTRUCTURE,26-Feb-2026 06:46 PM,Accepted-AOC,L1,23-Jun-2026 04:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5929999,OM CONSTRUCTION AND SUPPLIER,25-Feb-2026 04:49 PM,Rejected-Technical,DIS-QUALIFIED,28-Apr-2026 03:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5934800,SAI DEEP CONSTRUCTION,26-Feb-2026 08:45 PM,Rejected-Finance,L5,02-Jun-2026 04:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5932900,S B CONSTRUCTION COMPANY,26-Feb-2026 06:38 PM,Rejected-Finance,L3,02-Jun-2026 04:44 PM,,,,,,,,,,,,,,,,,AOC
