Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Tender Open,RAM KUMAR TIWARI,24-Apr-2026 05:02 PM,finance_2128762.pdf,BOQ Comparative Chart,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1136557_2,773/A.A.3/25-26,Imp. Damage Sulabh Shauchalay from Baba kuti Xing in Ward 36 Zone 03,1.0,6065316.0,S.S.ISHU CONSTRUCTION COMPANY,INR,"263,540",1.0,6065316.0,S.S.ISHU CONSTRUCTION COMPANY,23-Apr-2026 10:30 PM,Accepted-AOC,L1,25-Jun-2026 04:15 PM,25-Jun-2026,"INR 263,540",30.0,RAJESH KUMAR,25-Jun-2026 04:16 PM,773.pdf (645.00 KB),Work order,C.E.,Internal,,RAJESH KUMAR,25-Jun-2026 04:08 PM,techsummary_2128762.pdf (644.86 KB),C.E.,Internal,,RAJESH KUMAR,25-Jun-2026 04:13 PM,finsummary_2128762.pdf (644.86 KB),AOC,"31,005",No,percentage,10.0%,Nil,Nil,1.0,SBI Bank,Imp. Damage Sulabh Shauchalay from Baba kuti Xing in Ward 36 Zone 03,Imp. Damage Sulabh Shauchalay from Baba kuti Xing in Ward 36 Zone 03,Please refer Tender documents. ,NA ,"3,10,047",Civil Works,NA ,Tender,30.0,NA ,Imp. Damage Sulabh Shauchalay from Baba kuti Xing,208040.0,NA ,NA ,NA ,C.E.3,No ,No,"Kanpur Municipal Corporation, Kanpur, UP",773/A.A.3/25-26,2026_NNKAN_1136557_2,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,21-Apr-2026 06:00 PM,24-Apr-2026 04:00 PM,21-Apr-2026 06:00 PM,24-Apr-2026 03:00 PM,NA ,NA ,21-Apr-2026 06:00 PM,24-Apr-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,C.E.3,zone 3,590.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,AOC
