S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1,6170589,MANISH CONSTRUCTION COMPANY,05-Jun-2026 10:37 AM,Rejected-Finance,Being For L3,30-Jun-2026 03:31 PM,Directorate of Local Bodies UP||Nagar Panchayat Khairagarh Agra,2026_DOLBU_1145346_1,1475/npk/2026-27,nagar panchayat kheragarh agra mei avsthit dharmik Sthal Prachin Pathwari Mata Mandir mei avsthapana suvidhao k vikash Kary,1.0,6170508.0,M/s Parth Enterprises,INR,"14,835,516.3",30-Jun-2026,"INR 14,835,516.3",180.0,Satya pal Singh,30-Jun-2026 04:10 PM,comprativepathwari_compressed.pdf (212.00 KB),AOC,Aprana mishra,Internal,Satypal Singh JE Ramnivash Pandey JE,Satya pal Singh,30-Jun-2026 03:31 PM,finsummary_2140892.pdf (190.93 KB),Technical,technical bid,Satya pal Singh,29-Jun-2026 11:45 AM,technical_2140892.pdf,Aprana mishra,Internal,saty pal singh Raghav JE Ramivash Pandey JE,Satya pal Singh,30-Jun-2026 11:34 AM,30-Jun-2026 11:40 AM,techsummary_2140892.pdf (190.93 KB),Finance,financial bid,Satya pal Singh,30-Jun-2026 03:13 PM,finance_2140892.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,tender notice,1.0,FDR - Fixed Deposit,"14,83,700",No,fixed,,executive officer,np kheragarh,nagar panchayat kheragarh agra mei avsthit dharmik Sthal Prachin Pathwari Mata Mandir mei avsthapana suvidhao k vikash Kary,civil work,Please refer Tender documents. ,NA ,"1,48,37,000",Civil Works,NA ,Tender,180.0,180.0,nagar panchayat kheragarh agra,283121.0,NA ,NA ,NA ,office of nagar panchayat kheragarh agra,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Khairagarh Agra,1475/npk/2026-27,2026_DOLBU_1145346_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,06-May-2026 05:00 PM,06-Jun-2026 12:00 PM,06-May-2026 05:30 PM,05-Jun-2026 06:00 PM,NA ,NA ,06-May-2026 06:00 PM,05-Jun-2026 06:00 PM,30-Jun-2026 11:40 AM,executive officer,nagar panchayat kheragarh agra,"35,015",executive officer,np kheragarh,No,AOC
2,6170508,M/s Parth Enterprises,05-Jun-2026 10:07 AM,Accepted-AOC,Being L1,30-Jun-2026 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,6170649,Shri Balaji Enterprises,05-Jun-2026 10:56 AM,Rejected-Finance,Being For L2,30-Jun-2026 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
