Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Golagokrannath Lakhimpur,2026_DOLBU_1145242_1,54 dated 28-04-2026 work 1,54 dated 28-04-2026,1.0,6180336.0,Vijaydeep Construction Company,INR,"9,954,262.57",1,6184065,M/S RAJEEV PAL SINGH,10-Jun-2026 12:33 AM,Rejected-Finance,Higher then L1,18-Jun-2026 08:31 PM,18-Jun-2026,"INR 9,954,262.57",300.0,Anil Kumar Yadav,18-Jun-2026 08:33 PM,aocholi.pdf (182.00 KB),"It is found that bidder has qualified in both Technical and Financial Evaluation. Also Quoted Lowest Bid Price, BOQ",EO,Internal,JE Accountant,Anil Kumar Yadav,18-Jun-2026 08:31 PM,finsummary_2140587.pdf (240.12 KB),Technical,ALL BIDDERS ARE ELIGIBLE FOR TECHNICAL EVALUTION,Anil Kumar Yadav,18-Jun-2026 05:30 PM,technical_2140587.pdf,EO,Internal,JE Accountant,Anil Kumar Yadav,18-Jun-2026 05:39 PM,18-Jun-2026 05:45 PM,techsummary_2140587.pdf (240.12 KB),Finance,"It is found in BOQ after evaluation of technical bid packets attached in accepted bids, Bid No. 6180336 of Vijaydeep Construction Company was lowest",Anil Kumar Yadav,18-Jun-2026 08:29 PM,finance_2140587.pdf,BOQ Comparative Chart,AOC,"2,714",EO,NPP GOLA GOKARANNATH,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,54 dated 28-04-2026,Gola Gokarannath Simantragat Sthit Holika Talav ka Saundarikaran ka karya,Please refer Tender documents. ,NA ,"99,56,253",Civil Works,NA ,Tender,30.0,NA ,Gola Gokarannath,262802.0,NA ,NA ,NA ,Gola Gokarannath,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Golagokrannath Lakhimpur,54 dated 28-04-2026 work 1,2026_DOLBU_1145242_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,99,120",No,fixed,,EO,NPP GOLA GOKARANNATH,EO,NPP Gola Gokarannath,05-May-2026 10:00 AM,12-Jun-2026 11:00 AM,05-May-2026 10:00 AM,11-Jun-2026 05:00 PM,NA ,NA ,05-May-2026 10:00 AM,11-Jun-2026 05:00 PM,18-Jun-2026 05:45 PM,AOC
,,,,,,,,,2,6180359,P.S. Enterprises,08-Jun-2026 06:33 PM,Rejected-Finance,Higher then L1,18-Jun-2026 08:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6180336,Vijaydeep Construction Company,08-Jun-2026 06:28 PM,Accepted-AOC,Lowest Bidder,18-Jun-2026 08:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
