Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000","Principal Secretary, Vidhan Sabha",Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,TOR,Principal Secretary,"Uttar Pradesh Vidhan Sabha, Lucknow",1.0,DD - Demand Draft,Network Security System in Data Center,As Per TOR,As Per TOR ,NA ,,Security System,Cyber ZTN Security ,Tender,999.0,90.0,"Uttar Pradesh Vidhan Sabha, Lucknow",226001.0,NA ,NA ,NA ,"Uttar Pradesh Vidhan Sabha, Lucknow",No ,No,UP Vidhansabha,52/1/Anu.(Compu.)/2026,2026_UPVDS_1157530_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,"5,00,000",No,fixed,,"Principal Secretary, Vidhan Sabha",Lucknow,05-Jun-2026 06:30 PM,22-Jun-2026 02:00 PM,05-Jun-2026 06:45 PM,22-Jun-2026 01:00 PM,05-Jun-2026 06:45 PM ,12-Jun-2026 05:00 PM ,05-Jun-2026 06:55 PM,22-Jun-2026 01:00 PM,23-Jun-2026 04:55 PM,AOC,Principal Secretary,Internal,"Mohammad Mushahid, Neeraj Kumar Sachan, Anuj Kumar Pandey",Neeraj Kumar Schan,23-Jun-2026 04:54 PM,23-Jun-2026 04:55 PM,techsummary_2169030.pdf (572.76 KB),Finance,All 03 bids accepted for financial evaluation.,ANUJ KUMAR PANDEY,23-Jun-2026 05:01 PM,,BOQ Comparative Chart,Principal Secretary,Internal,"Mohammad Mushahid, Neeraj Kumar Sachan, Anuj Kumar Pandey",ANUJ KUMAR PANDEY,23-Jun-2026 06:37 PM,finsummary_2169030.pdf (508.32 KB),Technical,03 bids received and all accepted for technical evaluation.,Mohammad Mushahid,22-Jun-2026 06:43 PM,,UP Vidhansabha,2026_UPVDS_1157530_1,52/1/Anu.(Compu.)/2026,Network Security System in Data Center,1.0,6206793.0,Gempertsin pvt ltd,INR,"47,908,000",1,6202782,9USRcraft LLP,22-Jun-2026 11:42 AM,Rejected-Finance,Higher Bidder,23-Jun-2026 06:37 PM,23-Jun-2026,"INR 47,908,000",90.0,ANUJ KUMAR PANDEY,23-Jun-2026 06:40 PM,AOCLetterSecuritySystem.pdf (508.00 KB),Lowest Bidder,AOC
,,,,2.0,Finance,.xls,BOQ,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6197503,Aurionpro Solutions Limited,22-Jun-2026 10:20 AM,Rejected-Finance,Higher Bidder,23-Jun-2026 06:37 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6206793,Gempertsin pvt ltd,21-Jun-2026 12:08 PM,Accepted-AOC,Lowest Bidder,23-Jun-2026 06:41 PM,,,,,,,,AOC
