EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"24,660",No,percentage,10.0%,Nil,Nil,1.0,SBI Bank,"Work involving the application of thermoplastic paint for zebra crossings and stop lines at the major intersection, executed by the Traffic Department under the Kanpur Nagar Nigam.","Work involving the application of thermoplastic paint for zebra crossings and stop lines at the major intersection, executed by the Traffic Department under the Kanpur Nagar Nigam.",Please refer Tender documents. ,NA ,"2,46,603",Civil Works,NA ,Tender,90.0,30.0,zone-01,208001.0,NA ,NA ,NA ,"Chief Engineer Office, KNN, Motijheel",No ,No,"Chief Engineer, KNN","Chief Engineer Office, KNN, Motijheel","Kanpur Municipal Corporation, Kanpur, UP",49/AA-Tr/25-26,2026_NNKAN_1146368_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,07-May-2026 06:00 PM,12-May-2026 04:00 PM,07-May-2026 06:00 PM,12-May-2026 03:00 PM,NA ,NA ,07-May-2026 06:00 PM,12-May-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,AOC,EE tr,Internal,EE tr,MEENAKSHI AGARWAL,19-May-2026 05:18 PM,finsummary_2143723.pdf (44.15 KB),EE tr,Internal,EE tr,MEENAKSHI AGARWAL,19-May-2026 05:12 PM,techsummary_2143723.pdf (44.15 KB),1,6105889,BAGHEL CONTRACTOR,11-May-2026 12:56 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,1.0,6110545.0,M/s Beenu enterprises,INR,"209,613","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1146368_1,49/AA-Tr/25-26,"Work involving the application of thermoplastic paint for zebra crossings and stop lines at the major intersection, executed by the Traffic Department under the Kanpur Nagar Nigam.",06-Jun-2026,"INR 209,613",30.0,MEENAKSHI AGARWAL,18-Jun-2026 06:12 PM,beenu.pdf (279.00 KB),AOC issue,Finance,Tender Open,RAM KUMAR TIWARI,13-May-2026 05:14 PM,finance_2143723.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of pending work affidavit,AOC,,,,,,,,,,,,,2,6107184,KHATUSHYAM CONSTRUCTION AND TRADING COMPANY,11-May-2026 05:22 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,6102869,M/S ALI INFRASTRUCTURE,12-May-2026 02:13 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,6100100,M/S BALA JI CONSTRUCTIONS,11-May-2026 05:41 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,6110545,M/s Beenu enterprises,12-May-2026 02:21 PM,Accepted-AOC,AOC issue,18-Jun-2026 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,6108436,M/S MAA BALA DEVI CONSTRUCTION COMPANY,12-May-2026 09:49 AM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,6103782,M/S M.S.ENTERPRISES,11-May-2026 08:58 AM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,6108361,M/S NATIONAL CONSTRUCTION,11-May-2026 11:52 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,6110642,M/S RAJESH KUMAR KATIYAR,12-May-2026 02:40 PM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,6108323,M/S SKY LINE ENTERPRISES,12-May-2026 12:00 AM,Rejected-Finance,Not Selected in lottery,19-May-2026 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
