Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,2026_YEIDA_1107376_29,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,22-Jan-2026 06:55 PM,05-Feb-2026 11:00 AM,22-Jan-2026 06:55 PM,04-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 06:55 PM,04-Feb-2026 05:00 PM,11-Mar-2026 01:20 PM,"6,770",Nil,Nil,No,"16,18,400",No,fixed,,Nil,Nil,"Construction of Balance RCC Drain along 120mtr wide road in sector-22D, YEA WC-02","Construction of Balance RCC Drain along 120mtr wide road in sector-22D, YEA WC-02",Please refer Tender documents. ,NA ,"8,09,11,946",Civil Works,NA ,Tender,90.0,279.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",1.0,SBI Bank,AOC,1,5842136,DYNASTY PROMOTERS PRIVATE LIMITED,04-Feb-2026 02:23 PM,Rejected-Finance,L5,09-Apr-2026 05:19 PM,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1107376_29,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,"Construction of Balance RCC Drain along 120mtr wide road in sector-22D, YEA WC-02",Committee,Internal,Committee,BHARAM PAL SINGH,09-Apr-2026 05:19 PM,finsummary_2046617.pdf (1111.87 KB),Finance,UNDER,BHARAM PAL SINGH,09-Apr-2026 05:12 PM,,BOQ Comparative Chart,1.0,5841162.0,M/S ARY INFRATECH,INR,"55,028,214.79",Committee,Internal,Committee,RAJENDRA SINGH BHATI,11-Mar-2026 01:16 PM,11-Mar-2026 01:20 PM,techsummary_2046617.pdf (639.90 KB),Technical,UNDER EVALUATION,BHARAM PAL SINGH,11-Mar-2026 12:20 PM,,09-Apr-2026,"INR 55,028,214.79",279.0,BHARAM PAL SINGH,04-Jun-2026 10:33 AM,ARY.pdf (636.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,AOC,2,5842534,K K ENGINEERS AND PROMOTORS PRIVATE LIMITED,04-Feb-2026 02:24 PM,Rejected-Finance,L2,09-Apr-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,AOC,3,5841162,M/S ARY INFRATECH,03-Feb-2026 07:18 PM,Accepted-AOC,L1,04-Jun-2026 10:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,AOC,4,5842399,M/S Shyam Kumar And Company Pvt Ltd,04-Feb-2026 04:24 PM,Rejected-Finance,L4,09-Apr-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,AOC,5,5842446,M/S SKV INFRATECH PRIVATE LIMITED,04-Feb-2026 02:26 PM,Rejected-Finance,L3,09-Apr-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,5841965,P K BUILDERS,04-Feb-2026 04:43 PM,Rejected-Technical,DISQUALIFIED,11-Mar-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,5842066,Raja contractors & engineers,04-Feb-2026 12:50 PM,Rejected-Technical,DISQUALIFIED,11-Mar-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
