Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Cleaning of drain from Maswanpur Square to Bagiya Road via Cylinder Square under Zone 06 Ward 54 Vinayakpur.,Cleaning of drain from Maswanpur Square to Bagiya Road via Cylinder Square under Zone 06 Ward 54 Vinayakpur.,Please refer Tender documents. ,NA ,"5,69,893",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,20-Mar-2026 09:00 AM,28-Mar-2026 04:00 PM,20-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,NA ,NA ,20-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,"1,180",Nil,Nil,No,ce knn,ce knn moti jheel,"56,989",No,percentage,10.0%,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,"Kanpur Municipal Corporation, Kanpur, UP",818/AA-6/2025-26,2026_NNKAN_1127888_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EE-6,Internal,,Tota Ram,23-Apr-2026 07:20 PM,techsummary_2103616.pdf (42.02 KB),EE-6,Internal,,Tota Ram,23-Apr-2026 07:26 PM,finsummary_2103616.pdf (42.02 KB),Finance,All Bids are admitted,Tota Ram,01-Apr-2026 06:05 PM,,BOQ Comparative Chart,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1127888_1,818/AA-6/2025-26,Cleaning of drain from Maswanpur Square to Bagiya Road via Cylinder Square under Zone 06 Ward 54 Vinayakpur.,1.0,6012447.0,M/S MAA KALISHANKER ENTERPRISES,INR,"484,409",1,6012085,JAY KUDNI DARBAR CONSTRUCTION AND SUPPLIERS,27-Mar-2026 07:59 AM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,30-Apr-2026,"INR 484,409",45.0,Tota Ram,10-Jun-2026 01:54 PM,818.pdf (229.00 KB),work order,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5995735,MAA KALIKA DEVI CONSTRUCTION COMPANY,22-Mar-2026 12:55 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6013523,M B Enterprises,27-Mar-2026 10:33 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6013140,MEENU ENTERPRISES,27-Mar-2026 11:11 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6011566,M/s Akshat Enterprises,27-Mar-2026 12:04 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6003447,M/s Kamal contractor,26-Mar-2026 09:39 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6012447,M/S MAA KALISHANKER ENTERPRISES,27-Mar-2026 10:46 AM,Accepted-AOC,L-1,10-Jun-2026 01:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6016392,M/S RAJESH KUMAR KATIYAR,28-Mar-2026 02:38 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5996835,TIWARI AUTO SALES,22-Mar-2026 08:18 PM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6012417,VIBHU ENTERPRISES,27-Mar-2026 10:40 AM,Rejected-Finance,No Lottery Winner,23-Apr-2026 07:26 PM,,,,,,,,AOC
