S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,DD - Demand Draft,EXCUTIVE OFFICER,NPP MUBARAKPUR,22-Apr-2026 01:30 PM,07-May-2026 04:30 PM,22-Apr-2026 01:30 PM,06-May-2026 04:00 PM,NA ,NA ,22-Apr-2026 01:30 PM,06-May-2026 04:00 PM,18-May-2026 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Please refer tender documents,WORK NO 33,WORK NO 33,Please refer Tender documents. ,NA ,"7,00,009",Civil Works,NA ,Tender,120.0,NA ,MUBARAKPUR,276404.0,NA ,NA ,NA ,NPP MUBARAKPUR,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Mubarakpur Azamgarh,37/NNPMUBARAKPUR/2026-27 DT-13-04-2026,2026_DOLBU_1136955_33,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"70,001",Yes,percentage,10.0%,EO,MUBARAKPUR,826.0,EO,MUBARAKPUR,No,AOC,Directorate of Local Bodies UP||Nagar Palika Parishad Mubarakpur Azamgarh,2026_DOLBU_1136955_33,37/NNPMUBARAKPUR/2026-27 DT-13-04-2026,WORK NO 33,1.0,6092546.0,AJAY GUPTA,06-May-2026 07:25 AM,Rejected-Finance,L2,03-Jun-2026 03:58 PM,MR SANJEEV OJHA,Internal,Vinay Kumar Mishra (EO) Shashikant Yadav (JE) Rajan Chaudhari (Lipik),Vinay Kumar Mishra,03-Jun-2026 03:58 PM,finsummary_2123201.pdf (465.54 KB),Finance,Send for Financial Evolution,Rajan haudhary,18-May-2026 05:55 PM,,BOQ Comparative Chart,1.0,6090659.0,RAI BROTHERS,INR,"682,788.78",Technical,Three bidders participated in this tender all submitted for technical evaluation,Vinay Kumar Mishra,12-May-2026 08:30 PM,,03-Jun-2026,"INR 682,788.78",120.0,Vinay Kumar Mishra,03-Jun-2026 07:14 PM,33.pdf (357.00 KB),MR SANJEEV OJHA,Internal,Vinay Kumar Mishra (EO) Shashikant Yadav (JE) Rajan Chaudhari (Lipik),Vinay Kumar Mishra,18-May-2026 03:23 PM,18-May-2026 03:30 PM,techsummary_2123201.pdf (267.57 KB),AOC
2,BC - Bankers Cheque,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,6090284.0,M/S PRAMOD KR SINGH CONTRACTOR,05-May-2026 12:59 PM,Rejected-Finance,L3,03-Jun-2026 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,6090659.0,RAI BROTHERS,05-May-2026 02:28 PM,Accepted-AOC,L1,03-Jun-2026 07:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,6092344.0,RAM PRASAD YADAV,06-May-2026 06:56 AM,Rejected-Finance,L4,03-Jun-2026 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
