S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1,DD - Demand Draft,Directorate of Local Bodies UP||Nagar Panchayat Tarbganj Gonda,35/etender/npt/2026,2026_DOLBU_1146697_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,E.O,OFFICE NAGAR PANCHAYAT TARABGANJ GONDA,"3,570",EXEUTIVE OFFICER NAGAR PANCHAYAT TARABGANJ GONDA,NAGAR PANCHAYAT TARABGANJ GONDA,No,"3,02,000",No,fixed,,EXEUTIVE OFFICER NAGAR PANCHAYAT TARABGANJ GONDA,Lucknow,1.0,Fee/PreQual/Technical,.pdf,NIT,11-May-2026 05:00 PM,02-Jun-2026 12:00 PM,11-May-2026 05:00 PM,01-Jun-2026 05:00 PM,NA ,NA ,11-May-2026 05:00 PM,01-Jun-2026 05:00 PM,05-Jun-2026 02:00 PM,WARD NO 06 ME SHOBHA YADAV KE GHAR SE BAGHAI PURWA GANW TAK CC SADAK KA NIRMAN KARY.,WARD NO 06 ME SHOBHA YADAV KE GHAR SE BAGHAI PURWA GANW TAK CC SADAK KA NIRMAN KARY.,WARD NO 06 ME SHOBHA YADAV KE GHAR SE BAGHAI PURWA GANW TAK CC SADAK KA NIRMAN KARY. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,NAGAR PANCHAYAT TARABGANJ GONDA,271403.0,NA ,NA ,NA ,OFFICE NAGAR PANCHAYAT TARABGANJ GONDA,No ,No,AOC,EOJEAEBABU,Internal,,Amarnath Ram,06-Jun-2026 01:12 PM,finsummary_2144547.pdf (132.26 KB),Technical,ok,sher bahadur tiwari,05-Jun-2026 12:13 PM,,EOJEAEBABU,Internal,,sher bahadur tiwari,05-Jun-2026 12:52 PM,05-Jun-2026 02:00 PM,techsummary_2144547.pdf (132.23 KB),Finance,ok,Amarnath Ram,06-Jun-2026 11:25 AM,,BOQ Comparative Chart,1.0,6143927.0,M/S SACHIN BUILDERS AND SUPPLIERS,26-May-2026 03:40 PM,Rejected-Finance,Lowest Quoted Amount,06-Jun-2026 01:12 PM,1.0,6143709.0,M/S VINOD,INR,"3,017,000",Directorate of Local Bodies UP||Nagar Panchayat Tarbganj Gonda,2026_DOLBU_1146697_1,35/etender/npt/2026,WARD NO 06 ME SHOBHA YADAV KE GHAR SE BAGHAI PURWA GANW TAK CC SADAK KA NIRMAN KARY.,10-Jun-2026,"INR 3,017,000",90.0,Amarnath Ram,27-Jun-2026 02:45 PM,vinodms.pdf (302.00 KB),AOC
2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6143336.0,M/S SHRESHTH CONSTRUCTION,26-May-2026 12:56 PM,Rejected-Finance,Highest Quoted Amount,06-Jun-2026 01:12 PM,,,,,,,,,,,,,,,,AOC
3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6143709.0,M/S VINOD,26-May-2026 02:34 PM,Accepted-AOC,L1,27-Jun-2026 02:45 PM,,,,,,,,,,,,,,,,AOC
4,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
