Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,TECHNICAL,Dinesh Singh,26-May-2026 12:19 PM,,16-Jun-2026,"INR 1,513,102",90.0,Dinesh Singh,24-Jun-2026 06:54 PM,BLANK.pdf (181.00 KB),EERED,Internal,,Dinesh Singh,27-May-2026 02:12 PM,30-May-2026 02:00 PM,techsummary_2153071.pdf (181.05 KB),1,6130195,m/s raj contractor,24-May-2026 02:55 PM,Accepted-AOC,L1,24-Jun-2026 06:54 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2026_REDUP_1149604_13,67/NIVIDA AGRA/2025-26 dt 07.4.2026,13. Vikaskhand Fatehabad mein Nagla mahavai tiraha Jaya Dayal ke Ghar Se ramjeet ke Ghar ki or CC ka Nirman karya,1.0,6130195.0,m/s raj contractor,INR,"1,513,102",EERED,Internal,,Dinesh Singh,02-Jun-2026 12:58 PM,finsummary_2153071.pdf (17.78 KB),Finance,financial,Dinesh Singh,30-May-2026 05:06 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,SBD,1.0,SBI Bank,"32,000",Yes,fixed,,Nil,Nil,EEREDAGRA,EEREDAGRA,19-May-2026 10:00 AM,25-May-2026 02:30 PM,19-May-2026 10:00 AM,25-May-2026 02:00 PM,NA ,NA ,19-May-2026 10:00 AM,25-May-2026 02:00 PM,30-May-2026 02:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,67/NIVIDA AGRA/2025-26 dt 07.4.2026,2026_REDUP_1149604_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13. Vikaskhand Fatehabad mein Nagla mahavai tiraha Jaya Dayal ke Ghar Se ramjeet ke Ghar ki or CC ka Nirman karya,13. Vikaskhand Fatehabad mein Nagla mahavai tiraha Jaya Dayal ke Ghar Se ramjeet ke Ghar ki or CC ka Nirman karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EEREDAGRA,No ,No,854.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,2,6133518,M/S SUNIL CONSTRUCTION COMPANY,24-May-2026 04:00 PM,Rejected-Finance,L3,02-Jun-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,6129377,SHIVAM CONSTRUCTION COMPANY,24-May-2026 01:35 PM,Rejected-Finance,L2,02-Jun-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
