Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Jahagirganj Ambedkar Nagar,2026_DOLBU_1140113_1,36/NPJ/E Tender2026-27 DATE-21/04/2026,Nagar Panchayat Jahangeerganj Ward no.01 me kotiya me ambedkar park ke enterlocking and boundarywall ka nirman karya.,1.0,6110858.0,M/S YOGENDRA KUMAR SINGH CONSTRUCTION COMPANY,INR,"3,283,483.62",1.0,6111141.0,M/S DIVYANSHI CONSTRUCTION,12-May-2026 05:03 PM,Rejected-AOC,L2,02-Jun-2026 03:13 PM,02-Jun-2026,"INR 3,283,483.62",90.0,Umesh Kumar Pasi,02-Jun-2026 03:12 PM,karyadesh01kotiya.pdf (439.00 KB),BOQ,Umesh kumar Pasi (EO),Internal,Akbal Bahadur Patel (JE) Sayyed Amanullah (Clerk),Umesh Kumar Pasi,02-Jun-2026 06:00 PM,finsummary_2128945.pdf (283.01 KB),Technical,As Per Bid Opening Summary,Umesh Kumar Pasi,29-May-2026 04:25 PM,technical_2128945.pdf,Umesh kumar Pasi (EO),Internal,Akbal Bahadur Patel (JE) Sayyed Amanullah (Clerk),Umesh Kumar Pasi,29-May-2026 04:27 PM,29-May-2026 04:30 PM,techsummary_2128945.pdf (251.94 KB),Finance,As Per Bid Opening Summary,Umesh Kumar Pasi,02-Jun-2026 03:04 PM,finance_2128945.pdf,BOQ Comparative Chart,AOC,1,DD - Demand Draft,1.0,Tender Correction,Financial Bid,,"3,28,500",Yes,fixed,,Executive Officer Nagar Panchayat Jahangirganj,Jahangirganj,1.0,Fee/PreQual/Technical,.pdf,Fees Dacument,Nagar Panchayat Jahangeerganj Ward no.01 me kotiya me ambedkar park ke enterlocking and boundarywall ka nirman karya.,Nagar Panchayat Jahangeerganj Ward no.01 me kotiya me ambedkar park ke enterlocking and boundarywall ka nirman karya.,Please refer Tender documents. ,NA ,"32,85,126",Construction Works,NA ,Tender,90.0,NA ,Work,224147.0,NA ,NA ,NA ,Office Nagar Panchayat Jahangirganj,No ,No,"4,573",Executive Officer Nagar Panchayat Jahangirganj,Jahangirganj,No,Directorate of Local Bodies UP||Nagar Panchayat Jahagirganj Ambedkar Nagar,36/NPJ/E Tender2026-27 DATE-21/04/2026,2026_DOLBU_1140113_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,22-Apr-2026 05:00 PM,14-May-2026 02:00 PM,22-Apr-2026 05:00 PM,13-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 05:00 PM,13-May-2026 12:00 PM,29-May-2026 04:30 PM,Executive Officer N P Jahangirganj,Office Nagar Panchayat Jahangirganj Ambedkar Nagar,AOC
,,,,,,,,,2.0,6110858.0,M/S YOGENDRA KUMAR SINGH CONSTRUCTION COMPANY,12-May-2026 04:12 PM,Accepted-AOC,L1,02-Jun-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,BC - Bankers Cheque,2.0,Tender Correction,Technical Bid,,,,,,,,2.0,Finance,.xls,Financial Dacument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,6111997.0,RAM ACHAL,12-May-2026 10:28 PM,Rejected-AOC,L2,02-Jun-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
