Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",849/A.A3/25-26,2026_NNKAN_1145825_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,1.0,SBI Bank,"47,177",No,percentage,10.0%,Nil,Nil,590.0,Nil,Nil,No,06-May-2026 06:00 PM,12-May-2026 04:00 PM,06-May-2026 06:00 PM,12-May-2026 03:00 PM,NA ,NA ,06-May-2026 06:00 PM,12-May-2026 03:00 PM,Imp. C.C. Lane from Munshi Purva in Hasino wali gali in Ward 105 Zone 03,Imp. C.C. Lane from Munshi Purva in Hasino wali gali in Ward 105 Zone 03,Please refer Tender documents. ,NA ,"4,71,771",Civil Works,NA ,Tender,30.0,NA ,Imp. C.C. Lane from Munshi Purva in Hasino wali g,208040.0,NA ,NA ,NA ,C.E.3,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,C.E.3,Zone 3,AOC,C.E.,Internal,,RAM KUMAR TIWARI,23-Jun-2026 11:23 AM,finsummary_2142260.pdf (691.72 KB),C.E.,Internal,,RAM KUMAR TIWARI,23-Jun-2026 11:19 AM,techsummary_2142260.pdf (691.72 KB),1,6104046,AMAAN ENTERPRISES,10-May-2026 08:49 PM,Rejected-Finance,L2,23-Jun-2026 11:23 AM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1145825_1,849/A.A3/25-26,Imp. C.C. Lane from Munshi Purva in Hasino wali gali in Ward 105 Zone 03,1.0,6103932.0,MALIK CONSTRUCTIONS,INR,"464,694",23-Jun-2026,"INR 464,694",30.0,RAM KUMAR TIWARI,23-Jun-2026 11:27 AM,849.pdf (621.00 KB),Work order,Finance,Tender Open,RAM KUMAR TIWARI,14-May-2026 04:32 PM,finance_2142260.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,AOC,,,,,,,,,,,,,2,6103932,MALIK CONSTRUCTIONS,10-May-2026 07:53 PM,Accepted-AOC,L1,23-Jun-2026 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,6105249,M/s India Traders,11-May-2026 10:51 AM,Rejected-Finance,L3,23-Jun-2026 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
